kind,task,machine_selectable,process_time
0,0,"(9, 1, 5, 2, 6, 4, 0, 8, 3)","(4, 3, 1, 8, 9, 13, 11, 4, 12)"
0,1,"(4, 6, 3, 0, 1, 2, 7, 8, 9, 5)","(5, 13, 17, 20, 15, 8, 4, 4, 1, 6)"
0,2,"(0, 5, 7)","(20, 6, 14)"
0,3,"(1, 9, 5, 0, 4, 6, 8, 3)","(3, 20, 7, 6, 12, 7, 1, 5)"
0,4,"(2, 1, 3, 4, 0, 7, 9, 5, 8)","(20, 3, 2, 7, 2, 4, 4, 19, 6)"
0,5,"(4, 7, 8, 0, 5, 6, 1, 9, 3, 2)","(18, 11, 17, 1, 2, 11, 8, 1, 2, 6)"
1,0,"(3, 1, 2, 7, 8, 0)","(15, 15, 4, 17, 20, 1)"
1,1,"(9, 2)","(3, 5)"
1,2,"(5, 0, 1, 4, 3, 2, 8, 6, 7, 9)","(9, 14, 18, 10, 9, 2, 5, 6, 3, 1)"
1,3,"(3, 1, 8, 4, 0, 9, 2)","(16, 8, 19, 10, 7, 20, 16)"
1,4,"(7, 2, 0, 8, 3, 9)","(17, 13, 13, 15, 16, 12)"
1,5,"(0, 7, 2, 4, 9, 1, 5, 8)","(19, 3, 5, 4, 2, 3, 3, 2)"
1,6,"(3, 9)","(9, 8)"
1,7,"(9, 6, 8, 1, 7, 4, 0)","(18, 1, 3, 16, 16, 13, 14)"
2,0,"(3, 1, 8, 7, 2, 6, 9, 5)","(20, 11, 20, 3, 3, 19, 12, 5)"
2,1,"(5, 1, 8, 9, 3, 6, 4, 7, 2, 0)","(11, 2, 6, 7, 11, 11, 12, 16, 19, 1)"
2,2,"(0, 2, 9, 5)","(20, 13, 5, 20)"
2,3,"(0,)","(9,)"
2,4,"(1,)","(7,)"
2,5,"(2, 1)","(19, 16)"
2,6,"(4, 0, 7, 9)","(14, 8, 6, 4)"
3,0,"(7, 0, 2, 4, 9)","(12, 16, 18, 3, 12)"
3,1,"(8, 4, 6, 5, 2, 9, 1, 3, 7)","(20, 2, 17, 7, 6, 12, 10, 10, 4)"
3,2,"(7, 4, 9, 6, 2, 3, 0, 5, 1, 8)","(16, 13, 19, 13, 19, 15, 18, 5, 12, 15)"
3,3,"(8, 6, 9, 0, 2, 4, 5)","(4, 3, 9, 10, 13, 9, 4)"
3,4,"(8, 4, 1, 7, 9)","(16, 2, 15, 20, 7)"
3,5,"(7, 1, 3)","(17, 8, 1)"
3,6,"(3, 9, 0, 2, 6)","(16, 10, 13, 18, 9)"
3,7,"(9, 5, 1, 4)","(20, 9, 1, 7)"
4,0,"(8, 5, 3)","(15, 19, 9)"
4,1,"(0, 8, 5, 1, 7, 9)","(17, 4, 4, 6, 8, 2)"
4,2,"(1, 2)","(3, 5)"
4,3,"(9,)","(9,)"
4,4,"(8, 5, 3, 9, 2, 6, 0)","(18, 11, 18, 16, 1, 12, 14)"
4,5,"(7, 2, 5, 0, 4, 3, 8, 9, 1)","(2, 18, 18, 19, 1, 12, 15, 18, 9)"
4,6,"(9, 7, 2, 1, 5, 4, 0, 6, 3, 8)","(13, 3, 20, 1, 2, 20, 5, 17, 10, 13)"
4,7,"(3, 8)","(16, 9)"
4,8,"(2, 8, 7, 4, 1)","(17, 15, 17, 10, 13)"
5,0,"(7, 5, 8, 0)","(15, 11, 13, 7)"
5,1,"(1, 8, 9, 3, 2, 5, 0, 7)","(10, 11, 18, 6, 11, 17, 12, 9)"
5,2,"(7, 5, 4, 3, 9, 1)","(6, 1, 9, 2, 17, 2)"
5,3,"(3,)","(18,)"
5,4,"(5, 7, 1, 8, 3, 2, 4, 9, 6, 0)","(4, 15, 7, 16, 19, 17, 14, 4, 6, 2)"
5,5,"(7, 4, 5, 3, 8)","(13, 12, 7, 2, 2)"
5,6,"(7,)","(12,)"
6,0,"(1,)","(18,)"
6,1,"(9, 7, 6, 1, 3, 5, 2, 0, 8)","(12, 14, 14, 20, 3, 18, 14, 15, 14)"
6,2,"(1, 9, 3, 8, 5, 0)","(6, 12, 20, 20, 6, 10)"
6,3,"(5,)","(2,)"
6,4,"(4, 7, 6, 5, 9, 3)","(1, 15, 2, 14, 17, 15)"
7,0,"(3, 7, 6)","(10, 7, 13)"
7,1,"(1, 3, 5, 4, 8, 6)","(16, 3, 4, 1, 12, 2)"
7,2,"(4, 6, 8, 5, 2, 3, 1, 7, 9)","(9, 3, 3, 18, 2, 8, 19, 14, 19)"
7,3,"(8, 1, 2, 0, 6, 7, 5, 3, 9, 4)","(10, 11, 13, 15, 19, 12, 15, 13, 19, 17)"
7,4,"(8, 9, 1, 6, 2)","(16, 13, 6, 10, 12)"
7,5,"(8, 0, 1, 9, 6, 3)","(1, 14, 8, 17, 3, 7)"
7,6,"(4, 6, 8, 3, 0, 1, 2, 9, 7, 5)","(13, 10, 14, 10, 4, 2, 4, 14, 17, 16)"
7,7,"(7, 8)","(1, 15)"
8,0,"(8,)","(15,)"
8,1,"(0, 3, 2, 8, 5, 6, 4)","(9, 18, 13, 14, 12, 8, 19)"
8,2,"(8, 3, 0, 9, 6, 5, 4, 7, 2, 1)","(1, 12, 16, 9, 20, 7, 19, 18, 13, 18)"
8,3,"(5, 1, 6, 0, 2, 8, 9, 3, 7, 4)","(7, 3, 6, 15, 20, 20, 12, 15, 12, 3)"
8,4,"(3, 1, 7, 4)","(4, 10, 1, 8)"
8,5,"(9, 7, 1, 2, 0, 8, 4, 5)","(1, 16, 7, 1, 15, 7, 19, 7)"
8,6,"(2, 5, 1, 8, 7, 9, 6, 4, 0, 3)","(9, 19, 11, 20, 10, 8, 12, 13, 7, 17)"
8,7,"(7, 8, 4, 3, 5, 0, 6, 1, 2, 9)","(20, 20, 18, 17, 6, 18, 10, 13, 15, 5)"
8,8,"(4, 3, 7, 2, 8)","(8, 14, 9, 14, 12)"
