order,time_arrive,time_delivery,kind_number
0,0,96,"(8, 5, 5, 5, 9, 8, 7)"
1,136,244,"(5, 10, 10, 9, 10, 5, 5)"
2,305,406,"(9, 7, 6, 8, 8, 6, 7)"
3,407,498,"(6, 7, 6, 7, 7, 6, 7)"
4,514,599,"(9, 5, 6, 6, 6, 5, 6)"
5,664,767,"(7, 9, 10, 10, 5, 5, 8)"
6,816,919,"(10, 7, 7, 6, 5, 8, 10)"
7,980,1102,"(10, 6, 9, 6, 10, 8, 10)"
8,1089,1180,"(7, 6, 5, 7, 6, 6, 9)"
9,1258,1375,"(9, 10, 8, 10, 7, 10, 8)"
10,1374,1491,"(10, 8, 8, 7, 9, 7, 9)"
11,1569,1680,"(6, 8, 10, 5, 7, 10, 10)"
12,1700,1798,"(10, 9, 6, 7, 5, 8, 7)"
13,1854,1954,"(5, 7, 6, 5, 10, 9, 7)"
14,1972,2064,"(6, 10, 8, 6, 7, 5, 5)"
