kind,task,machine_selectable,process_time
0,0,"(5, 6, 0, 3, 1, 8, 7, 4, 9, 2)","(20, 8, 14, 17, 16, 20, 17, 11, 3, 1)"
0,1,"(4, 7, 9, 1, 0, 5, 2, 8, 6)","(5, 1, 10, 20, 13, 11, 20, 3, 6)"
0,2,"(3, 4, 1, 2, 5)","(11, 17, 3, 6, 6)"
0,3,"(6, 4, 2, 8, 9, 3, 1, 5)","(4, 20, 20, 10, 14, 5, 8, 4)"
0,4,"(5, 4, 9, 7)","(4, 5, 3, 17)"
0,5,"(9, 6, 1, 5, 7, 3)","(4, 10, 17, 8, 13, 20)"
0,6,"(4, 2, 6, 9, 3, 0, 8, 1, 5, 7)","(14, 14, 5, 12, 6, 15, 9, 17, 16, 19)"
1,0,"(7,)","(1,)"
1,1,"(8, 0, 2, 1)","(16, 17, 2, 11)"
1,2,"(1, 6, 9, 5, 0, 3, 7, 8)","(1, 20, 18, 4, 16, 16, 14, 19)"
1,3,"(4, 9, 5, 8, 6)","(10, 20, 2, 15, 12)"
1,4,"(6, 3, 9, 1, 7, 5, 8)","(5, 2, 4, 2, 2, 20, 12)"
1,5,"(5, 3, 0, 9)","(20, 4, 16, 16)"
1,6,"(7, 0, 3)","(11, 2, 9)"
2,0,"(8, 7, 3, 5, 1, 6, 4)","(5, 20, 14, 18, 1, 16, 3)"
2,1,"(3, 9, 7)","(14, 11, 19)"
2,2,"(7,)","(18,)"
2,3,"(0, 9, 4, 5, 8, 1, 6, 2, 7, 3)","(9, 14, 20, 4, 3, 16, 4, 17, 10, 14)"
2,4,"(3, 7, 4, 1, 9, 0)","(6, 2, 19, 17, 2, 15)"
2,5,"(2,)","(4,)"
2,6,"(3, 2, 8, 7, 9, 1, 5, 6)","(10, 17, 11, 20, 12, 4, 18, 8)"
3,0,"(8,)","(9,)"
3,1,"(1, 6, 0, 8)","(1, 7, 1, 10)"
3,2,"(2, 7, 9)","(17, 6, 2)"
3,3,"(3,)","(6,)"
3,4,"(7, 2, 5)","(20, 8, 2)"
3,5,"(6, 4, 9, 7, 5, 8, 3, 1, 2)","(20, 10, 8, 5, 2, 16, 7, 14, 6)"
4,0,"(3, 7, 1, 0)","(14, 15, 12, 9)"
4,1,"(5, 3, 8, 1)","(17, 19, 14, 11)"
4,2,"(9, 5, 6)","(5, 8, 16)"
4,3,"(9, 0, 2)","(17, 4, 13)"
4,4,"(4, 5, 7, 2, 0, 9, 8)","(10, 20, 13, 14, 14, 20, 1)"
4,5,"(6, 5, 0, 2, 9, 8, 4, 3, 7)","(4, 16, 18, 2, 10, 16, 11, 5, 11)"
4,6,"(4, 1)","(18, 16)"
4,7,"(6, 7, 3, 0)","(9, 5, 19, 17)"
4,8,"(6,)","(15,)"
4,9,"(1, 7, 8)","(5, 20, 10)"
5,0,"(2, 7)","(5, 9)"
5,1,"(7, 6, 9, 1, 0)","(10, 11, 6, 15, 5)"
5,2,"(8, 9, 6, 5, 1, 0, 7, 3, 4, 2)","(14, 10, 2, 19, 12, 4, 10, 2, 16, 6)"
5,3,"(3, 7, 0, 2, 8)","(2, 17, 10, 5, 19)"
5,4,"(9,)","(6,)"
5,5,"(9,)","(7,)"
5,6,"(1, 8)","(2, 3)"
6,0,"(1, 7, 5, 2, 6, 3, 9, 4)","(10, 6, 14, 2, 13, 17, 16, 6)"
6,1,"(2, 8, 0, 9)","(14, 20, 4, 11)"
6,2,"(1, 8, 6, 5, 0)","(12, 20, 19, 15, 7)"
6,3,"(9, 4, 5, 7, 3, 1, 6, 0, 2)","(13, 10, 18, 4, 15, 19, 8, 3, 11)"
6,4,"(4, 2, 0)","(7, 10, 5)"
6,5,"(0, 9)","(18, 2)"
6,6,"(7, 3)","(12, 4)"
6,7,"(9, 5, 7, 8, 6)","(1, 10, 1, 13, 13)"
6,8,"(8, 0, 9, 6, 7, 3, 2, 5, 1, 4)","(1, 14, 10, 10, 10, 18, 7, 13, 15, 14)"
6,9,"(2, 4, 5, 6, 9, 0, 7, 3, 1, 8)","(15, 7, 15, 6, 12, 1, 19, 19, 13, 4)"
