order,time_arrive,time_delivery,kind_number
0,0,74,"(7, 9, 5, 7, 5, 6, 5, 7, 6, 7)"
1,180,265,"(6, 9, 9, 6, 7, 8, 5, 7, 9, 5)"
2,318,406,"(6, 9, 9, 7, 7, 6, 6, 8, 8, 9)"
3,445,534,"(5, 5, 10, 8, 10, 8, 6, 6, 8, 10)"
4,609,692,"(5, 7, 6, 5, 9, 10, 6, 9, 8, 7)"
5,788,889,"(9, 10, 8, 6, 9, 10, 10, 9, 7, 10)"
6,944,1040,"(9, 5, 5, 7, 10, 9, 9, 9, 10, 8)"
7,1059,1138,"(7, 5, 5, 8, 10, 9, 7, 5, 6, 7)"
8,1194,1280,"(6, 5, 7, 6, 8, 7, 5, 10, 10, 9)"
9,1388,1464,"(10, 7, 9, 6, 5, 7, 5, 5, 5, 8)"
10,1489,1578,"(8, 8, 10, 8, 9, 5, 5, 10, 7, 5)"
11,1633,1716,"(5, 7, 9, 6, 6, 7, 10, 6, 6, 7)"
12,1827,1915,"(7, 8, 7, 6, 5, 7, 6, 9, 10, 9)"
13,2026,2111,"(7, 5, 10, 7, 9, 5, 6, 10, 5, 10)"
14,2182,2262,"(8, 7, 8, 5, 10, 8, 5, 7, 5, 9)"
