kind,task,machine_selectable,process_time
0,0,"(0, 13, 5, 12, 7, 10, 6)","(7, 11, 5, 15, 12, 4, 18)"
0,1,"(8, 5, 7, 3, 13, 9, 14, 12, 6, 2, 10, 4)","(7, 16, 15, 18, 5, 18, 18, 18, 14, 17, 15, 14)"
0,2,"(11, 6, 13, 9, 12)","(3, 3, 1, 18, 3)"
0,3,"(13, 0, 10, 11, 7, 5, 6, 4, 9, 8, 1, 2)","(18, 19, 16, 7, 20, 5, 4, 5, 3, 10, 12, 4)"
0,4,"(13, 14, 2, 3, 11, 0, 8, 1, 5, 7, 10, 6, 12, 9)","(20, 20, 10, 14, 12, 11, 8, 6, 18, 15, 13, 1, 12, 4)"
1,0,"(11, 9, 6, 5)","(5, 9, 2, 12)"
1,1,"(9, 0, 12, 8, 11, 13, 7, 10, 14, 5, 1, 3, 2)","(16, 10, 10, 13, 18, 17, 13, 14, 1, 12, 17, 3, 8)"
1,2,"(3, 11, 13, 2, 14)","(9, 10, 10, 4, 16)"
1,3,"(2, 4, 9, 3, 8)","(1, 18, 1, 3, 3)"
1,4,"(14, 12)","(15, 19)"
1,5,"(13, 8, 5, 0, 10)","(3, 17, 18, 8, 1)"
2,0,"(14, 0, 2, 12, 1, 6, 4, 11, 10, 13)","(8, 19, 19, 12, 6, 14, 20, 19, 13, 14)"
2,1,"(3, 10, 0, 11, 6, 14, 4)","(20, 18, 15, 4, 10, 12, 19)"
2,2,"(2, 0, 8)","(1, 8, 19)"
2,3,"(10, 8, 11, 1, 13, 6, 2, 3)","(18, 14, 1, 4, 20, 2, 16, 15)"
2,4,"(11, 5, 2, 13, 10, 12)","(19, 8, 3, 20, 7, 16)"
2,5,"(3, 14, 7, 13, 0, 11, 6)","(4, 10, 10, 7, 3, 13, 17)"
2,6,"(0, 12, 8, 14, 13)","(16, 9, 9, 8, 12)"
3,0,"(11, 14)","(7, 13)"
3,1,"(8, 6, 11, 14, 1, 0, 7, 12, 5, 3, 10, 2, 13, 9, 4)","(11, 6, 8, 13, 2, 6, 13, 11, 18, 13, 8, 4, 11, 14, 4)"
3,2,"(9, 1, 7, 11, 3, 8)","(18, 3, 11, 8, 4, 2)"
3,3,"(2, 13, 5, 7, 6, 11, 3, 9)","(3, 3, 2, 18, 19, 19, 16, 8)"
3,4,"(9, 7, 14, 13, 5, 11, 0, 4, 1, 10, 3, 12)","(11, 18, 6, 20, 1, 20, 2, 11, 4, 9, 17, 6)"
3,5,"(7, 6, 9, 8, 3)","(6, 18, 5, 16, 7)"
3,6,"(8, 7, 11, 9)","(7, 9, 8, 2)"
3,7,"(7, 10, 0, 1, 12, 3, 9, 13, 6, 8, 2, 4, 11, 14)","(17, 9, 3, 11, 12, 11, 5, 5, 3, 9, 13, 19, 18, 4)"
3,8,"(7, 3, 10, 1, 14, 13, 6, 5, 9, 12, 8, 11)","(10, 8, 10, 17, 4, 15, 13, 19, 9, 10, 17, 11)"
4,0,"(0, 5, 2, 7, 12, 1, 6, 9, 3, 10, 8, 14)","(16, 11, 5, 18, 1, 7, 15, 9, 20, 13, 1, 8)"
4,1,"(12, 5, 3, 8, 7, 1, 6, 14, 4, 0, 10, 2, 11, 13, 9)","(5, 4, 20, 4, 2, 3, 11, 4, 15, 7, 13, 19, 11, 9, 7)"
4,2,"(9, 7, 13, 5, 12, 14, 11, 8, 0, 2, 3, 1, 10, 6)","(10, 17, 2, 4, 12, 1, 6, 14, 12, 5, 17, 1, 2, 13)"
4,3,"(4, 8, 3, 14, 9, 5, 6, 1, 12, 10)","(6, 13, 10, 18, 19, 16, 5, 12, 20, 13)"
4,4,"(7,)","(16,)"
5,0,"(13, 8, 4, 1, 10, 3, 6)","(7, 15, 14, 11, 1, 20, 7)"
5,1,"(10, 5, 8, 6, 13, 11, 7, 14, 4, 9, 1, 0, 12, 3, 2)","(10, 10, 12, 13, 10, 20, 3, 9, 10, 5, 4, 13, 11, 13, 8)"
5,2,"(10, 1, 2, 12, 5, 13, 7, 14, 11, 0)","(13, 5, 9, 8, 10, 3, 14, 6, 14, 7)"
5,3,"(8, 3, 12, 2, 7, 6, 1, 14, 11, 0, 4, 5)","(7, 15, 1, 7, 16, 4, 8, 20, 12, 5, 20, 10)"
5,4,"(12, 10, 6, 1, 4, 5)","(5, 3, 2, 16, 11, 15)"
6,0,"(14, 6, 4, 5, 8)","(4, 14, 8, 13, 5)"
6,1,"(11, 8, 3, 4)","(19, 11, 4, 7)"
6,2,"(4, 12, 9, 6, 0, 11, 5, 8, 7, 10, 14, 2, 13, 1, 3)","(5, 4, 13, 1, 16, 3, 13, 11, 5, 1, 20, 3, 8, 2, 17)"
6,3,"(5,)","(16,)"
6,4,"(9, 12, 2, 10, 6, 8, 4, 3, 13, 0, 14)","(9, 20, 13, 15, 15, 12, 5, 5, 5, 14, 17)"
6,5,"(1, 5, 0, 9, 11, 7, 13, 8)","(10, 5, 16, 12, 19, 18, 2, 14)"
6,6,"(3, 14, 7, 5, 11, 8, 10, 13, 2, 4, 6, 1, 0, 12, 9)","(17, 10, 11, 6, 11, 10, 8, 3, 6, 20, 6, 3, 10, 1, 18)"
6,7,"(12, 6, 3, 4, 2, 8, 14, 10, 11, 9, 1, 7)","(5, 2, 9, 7, 17, 3, 18, 11, 10, 6, 7, 12)"
6,8,"(2, 5, 1, 6, 7, 10, 12, 8, 14, 11)","(6, 6, 17, 8, 12, 13, 1, 10, 9, 1)"
6,9,"(13,)","(2,)"
7,0,"(0, 8, 10, 3, 4, 12, 14, 6, 11, 13)","(12, 3, 6, 11, 18, 7, 15, 10, 13, 3)"
7,1,"(5, 12, 1, 8, 14, 13, 9, 0, 2)","(19, 8, 17, 19, 17, 16, 20, 13, 9)"
7,2,"(2,)","(1,)"
7,3,"(5, 3, 2, 8, 4, 1, 11, 12, 13, 14, 7, 0, 9)","(8, 20, 4, 9, 8, 17, 13, 10, 15, 12, 4, 6, 1)"
7,4,"(14, 7, 6, 10, 1, 8, 11, 12, 13, 3, 0)","(7, 16, 11, 16, 20, 15, 18, 6, 16, 14, 8)"
7,5,"(12, 9, 11, 1, 2, 10, 3, 14)","(19, 1, 12, 7, 1, 7, 16, 5)"
7,6,"(8, 2, 3)","(12, 12, 11)"
8,0,"(12, 5, 2)","(4, 7, 20)"
8,1,"(12, 4)","(17, 20)"
8,2,"(13, 9, 2, 7, 6, 10, 3, 8, 5, 0, 12, 1)","(12, 14, 6, 9, 1, 3, 11, 17, 10, 12, 16, 12)"
8,3,"(0, 3, 9, 10)","(4, 17, 17, 16)"
8,4,"(0, 2, 12, 9, 6, 8, 3, 7, 1, 14, 11)","(11, 10, 4, 14, 16, 1, 19, 14, 12, 8, 9)"
8,5,"(14, 5, 11, 10, 13, 0, 4, 9, 12, 2, 1, 7)","(2, 2, 2, 18, 7, 14, 7, 14, 18, 18, 3, 18)"
8,6,"(4, 12, 3, 2)","(5, 7, 18, 6)"
8,7,"(12, 13, 9, 6, 0, 5, 2, 14, 11, 8, 4, 10, 3, 1)","(6, 9, 20, 5, 3, 7, 17, 5, 3, 4, 15, 15, 3, 16)"
8,8,"(9, 2, 1, 14, 6)","(16, 16, 5, 15, 15)"
