kind,task,machine_selectable,process_time
0,0,"(1, 0, 6, 8, 5, 4, 3, 9, 2, 7)","(16, 6, 19, 13, 19, 3, 17, 18, 3, 9)"
0,1,"(4, 0, 8, 7, 5, 3, 9, 2, 6, 1)","(4, 13, 16, 16, 5, 11, 4, 5, 15, 5)"
0,2,"(4, 9, 7, 3, 5, 1)","(20, 3, 14, 4, 4, 5)"
0,3,"(7, 1, 4, 6, 8, 2, 3, 9)","(1, 5, 17, 7, 17, 16, 6, 4)"
0,4,"(7, 6, 8, 1, 5)","(20, 18, 11, 19, 2)"
0,5,"(4, 6)","(20, 17)"
0,6,"(4,)","(2,)"
1,0,"(7, 4, 2, 3, 6, 9, 1, 0)","(2, 20, 7, 9, 8, 8, 18, 11)"
1,1,"(0, 3, 1, 5)","(20, 6, 8, 11)"
1,2,"(2, 7, 1, 8, 5, 6, 9, 0)","(15, 14, 16, 4, 19, 3, 16, 5)"
1,3,"(2, 6, 7, 3, 4, 5)","(5, 1, 10, 7, 17, 14)"
1,4,"(8,)","(11,)"
1,5,"(9, 4, 5, 2, 3, 8)","(12, 20, 18, 10, 18, 16)"
1,6,"(0, 3, 4, 5, 6, 2, 8, 9, 7)","(9, 16, 6, 19, 9, 3, 9, 15, 3)"
2,0,"(3, 7, 6, 2, 1, 9, 8, 5)","(10, 4, 8, 15, 2, 20, 5, 10)"
2,1,"(1, 9)","(20, 17)"
2,2,"(8, 7, 0, 5, 4, 3, 2)","(8, 5, 12, 19, 10, 14, 17)"
2,3,"(3, 4, 7, 9)","(10, 6, 4, 2)"
2,4,"(6, 2, 9, 1, 8, 4, 0, 7, 3, 5)","(2, 7, 3, 20, 11, 12, 6, 20, 16, 15)"
2,5,"(7, 5)","(18, 12)"
2,6,"(8, 7, 0, 5, 4, 2, 3, 9)","(6, 16, 12, 3, 1, 13, 12, 5)"
2,7,"(4,)","(3,)"
3,0,"(7, 2, 8, 6, 1, 9, 4, 3, 0)","(20, 8, 7, 1, 2, 17, 16, 5, 15)"
3,1,"(5, 3, 7, 6, 1, 9, 0, 2, 8, 4)","(11, 17, 15, 15, 15, 18, 14, 16, 1, 17)"
3,2,"(2, 7, 5, 9, 1, 8, 6, 3, 4, 0)","(10, 10, 7, 1, 6, 19, 20, 4, 9, 18)"
3,3,"(3, 1, 7, 8, 9, 2, 0)","(12, 2, 6, 6, 3, 15, 7)"
3,4,"(1, 2, 3, 6, 5, 7, 4, 8, 0)","(9, 7, 12, 10, 19, 18, 11, 7, 3)"
4,0,"(2, 8, 3, 1, 9)","(8, 10, 2, 13, 18)"
4,1,"(5, 0, 1, 9, 8, 3, 4, 7, 2)","(6, 17, 20, 20, 18, 8, 19, 15, 11)"
4,2,"(7, 4, 5)","(10, 14, 12)"
4,3,"(4, 6)","(10, 4)"
4,4,"(1, 0, 2, 3, 8, 5, 6, 7)","(13, 19, 1, 12, 12, 13, 14, 18)"
