kind,task,machine_selectable,process_time
0,0,"(2, 5, 0, 6)","(1, 18, 1, 17)"
0,1,"(6, 7)","(15, 4)"
0,2,"(8, 9, 2, 7, 3, 5, 0, 6)","(3, 6, 8, 10, 9, 19, 15, 4)"
0,3,"(5, 1, 2, 3, 6, 7, 4, 8)","(7, 4, 14, 4, 17, 11, 17, 14)"
0,4,"(6, 7)","(1, 14)"
0,5,"(5, 7, 2)","(6, 13, 19)"
0,6,"(6, 7, 4, 0, 8, 2, 5)","(4, 5, 9, 20, 4, 17, 18)"
0,7,"(7,)","(5,)"
0,8,"(6, 8, 9, 3, 4, 5, 1, 7, 0, 2)","(7, 8, 13, 15, 16, 16, 15, 5, 20, 19)"
0,9,"(3, 6, 0, 1, 2, 4)","(2, 4, 11, 9, 16, 13)"
1,0,"(8, 0, 9, 2, 4)","(1, 19, 10, 17, 5)"
1,1,"(0, 7, 9, 8, 3)","(5, 19, 2, 16, 20)"
1,2,"(8, 4, 3, 7, 2, 5, 6, 0, 1)","(18, 9, 13, 2, 6, 5, 17, 1, 18)"
1,3,"(9, 7)","(8, 10)"
1,4,"(5,)","(14,)"
1,5,"(8, 9)","(19, 19)"
1,6,"(2, 6, 1, 0, 4, 3)","(12, 15, 4, 20, 4, 7)"
1,7,"(9, 8, 1, 7)","(3, 17, 14, 11)"
2,0,"(7, 5, 3, 4, 9, 2, 8, 1, 0)","(6, 4, 14, 18, 3, 16, 13, 18, 9)"
2,1,"(9, 5)","(1, 20)"
2,2,"(7, 6, 0, 5, 8, 2, 4, 9, 1, 3)","(1, 10, 8, 2, 1, 3, 5, 7, 7, 2)"
2,3,"(1, 2, 3, 7, 6, 4, 5, 9, 0, 8)","(1, 3, 4, 20, 16, 16, 19, 2, 18, 9)"
2,4,"(5, 7, 0, 1, 6, 8, 2, 4, 9, 3)","(13, 16, 8, 4, 20, 9, 19, 15, 17, 9)"
2,5,"(3,)","(2,)"
2,6,"(4, 0, 7)","(5, 18, 1)"
2,7,"(6, 3, 2, 4, 8)","(2, 5, 20, 5, 18)"
2,8,"(4, 3, 7, 2, 8)","(8, 17, 11, 17, 10)"
2,9,"(7, 0, 8, 9, 6, 4, 5, 3, 1)","(11, 3, 6, 1, 5, 2, 19, 3, 12)"
3,0,"(0, 1, 4, 2, 7, 5, 8, 9, 3)","(13, 16, 5, 8, 1, 12, 10, 4, 10)"
3,1,"(7, 2, 3, 5, 4, 1, 8)","(11, 6, 4, 11, 10, 10, 7)"
3,2,"(0, 8, 1, 4)","(13, 11, 18, 15)"
3,3,"(5, 9, 2, 1, 8, 4, 3, 7)","(17, 6, 1, 18, 9, 13, 15, 9)"
3,4,"(7, 8, 9, 6, 1, 5)","(6, 15, 1, 19, 6, 1)"
3,5,"(4,)","(11,)"
3,6,"(4, 6, 5, 9, 0)","(11, 15, 16, 8, 10)"
3,7,"(1, 0, 9, 8, 2, 3, 6, 5, 4, 7)","(13, 1, 12, 7, 12, 1, 6, 3, 15, 18)"
4,0,"(9, 3)","(15, 16)"
4,1,"(2, 7, 1, 0, 8, 6, 3, 9, 4, 5)","(20, 2, 6, 11, 14, 17, 4, 2, 19, 6)"
4,2,"(4, 7, 6, 5, 1, 3, 8, 9, 2, 0)","(10, 4, 1, 2, 10, 3, 1, 11, 14, 4)"
4,3,"(7, 8, 5, 9, 0, 1, 2)","(13, 5, 5, 6, 6, 9, 1)"
4,4,"(8,)","(17,)"
5,0,"(0, 3, 1, 7, 4)","(13, 17, 14, 1, 10)"
5,1,"(8, 6, 7, 5, 0)","(20, 14, 14, 9, 7)"
5,2,"(5, 3, 9)","(1, 19, 7)"
