kind,task,machine_selectable,process_time
0,0,"(1, 14, 10, 9)","(3, 10, 20, 20)"
0,1,"(11, 5, 13, 12)","(20, 18, 2, 20)"
0,2,"(2, 1, 11, 14, 3, 13, 7, 6, 0)","(3, 6, 4, 6, 11, 10, 7, 1, 5)"
0,3,"(13, 0, 6, 2)","(17, 9, 18, 19)"
0,4,"(3, 5, 6, 10, 0, 4, 14, 12, 2, 9)","(6, 16, 12, 19, 19, 3, 16, 19, 15, 8)"
1,0,"(6, 1, 7, 11, 5, 14, 12, 3, 0)","(7, 11, 2, 2, 17, 12, 17, 8, 1)"
1,1,"(2,)","(14,)"
1,2,"(3, 7)","(4, 7)"
1,3,"(8, 4, 0, 9, 11, 1, 5)","(8, 5, 18, 4, 8, 20, 6)"
1,4,"(2, 12, 4, 14, 6, 8, 10, 0, 5, 11, 1, 7, 13, 3, 9)","(14, 11, 20, 15, 16, 6, 4, 7, 9, 15, 20, 18, 12, 2, 1)"
2,0,"(0, 13, 11, 2, 14, 9, 8, 4, 5, 10, 7, 1, 3, 12)","(20, 9, 1, 12, 3, 7, 9, 9, 3, 19, 9, 3, 5, 1)"
2,1,"(8, 10, 4, 1, 3)","(13, 17, 1, 17, 14)"
2,2,"(8, 6, 12, 7, 5, 1, 4, 10)","(11, 20, 13, 13, 6, 3, 17, 13)"
2,3,"(0, 12, 14, 3, 2)","(18, 4, 15, 20, 18)"
2,4,"(8, 7, 12, 6, 11, 3, 10, 0, 14, 2, 13, 4, 9, 5)","(17, 18, 14, 18, 2, 20, 18, 10, 15, 18, 10, 20, 2, 5)"
2,5,"(10, 12, 14, 7, 11, 8, 0, 2, 6, 4, 3, 1)","(18, 12, 1, 10, 2, 10, 4, 10, 13, 7, 7, 17)"
2,6,"(12, 0, 9, 11, 2, 4, 14, 5, 8, 13, 3, 1, 10)","(13, 16, 5, 15, 9, 17, 18, 12, 16, 2, 3, 7, 10)"
3,0,"(13, 10, 2, 8, 7, 14, 12, 9)","(5, 6, 10, 7, 17, 19, 13, 16)"
3,1,"(10, 11, 1, 2, 14, 4, 12, 5)","(12, 9, 13, 4, 2, 10, 17, 19)"
3,2,"(3, 7)","(13, 15)"
3,3,"(9, 2, 6, 5, 1, 7, 11, 12, 13, 0, 10)","(17, 20, 20, 9, 20, 6, 15, 11, 5, 11, 16)"
3,4,"(4, 1, 6, 7, 3)","(17, 4, 13, 15, 20)"
3,5,"(6, 5)","(18, 4)"
3,6,"(12, 10)","(20, 1)"
3,7,"(6, 7)","(20, 17)"
4,0,"(3, 13, 12, 1, 8, 14, 5, 10, 4, 7)","(19, 13, 9, 12, 3, 3, 2, 7, 17, 14)"
4,1,"(13, 6, 11, 0, 10, 3, 7, 14)","(9, 13, 1, 18, 3, 8, 13, 11)"
4,2,"(8, 7, 6, 10, 1, 5, 12, 3, 14, 9, 2)","(17, 4, 2, 11, 17, 15, 20, 13, 19, 16, 18)"
4,3,"(14, 5, 2, 9, 0, 3, 7, 11, 1, 10, 12, 13, 6, 8, 4)","(13, 18, 3, 19, 11, 18, 12, 2, 8, 10, 4, 8, 11, 3, 17)"
4,4,"(4, 9, 7, 12, 3, 8)","(9, 13, 8, 12, 5, 2)"
4,5,"(10, 7, 3, 11, 9, 2, 1, 13, 0, 12, 14, 8, 6)","(6, 13, 18, 4, 2, 16, 19, 17, 14, 7, 4, 16, 3)"
4,6,"(3, 7, 12, 5, 13, 1, 8, 6, 0, 10, 2, 14, 9)","(8, 9, 20, 16, 8, 5, 2, 1, 13, 17, 15, 20, 4)"
4,7,"(10, 0, 11, 3)","(11, 7, 17, 13)"
5,0,"(3, 12, 11, 10, 0, 13, 7, 2, 14, 4, 5, 9)","(12, 15, 4, 2, 2, 6, 5, 12, 6, 5, 14, 14)"
5,1,"(12, 4, 8, 11, 13, 10, 0, 14, 1, 2)","(11, 3, 17, 8, 11, 6, 19, 9, 15, 20)"
5,2,"(5, 6, 12, 8, 14, 4, 9, 1, 10, 3, 7)","(4, 1, 2, 19, 11, 7, 16, 14, 6, 15, 12)"
5,3,"(0,)","(17,)"
5,4,"(9, 1, 5)","(13, 18, 2)"
5,5,"(10, 6, 0, 12, 8, 11, 5, 1, 13, 2)","(17, 12, 19, 15, 13, 11, 5, 20, 10, 4)"
5,6,"(10, 4, 9, 0)","(13, 14, 2, 3)"
5,7,"(1, 6, 0, 3, 10, 13, 12, 4)","(6, 19, 3, 13, 14, 4, 16, 7)"
6,0,"(12, 6, 2, 14, 7, 9, 13)","(19, 17, 15, 14, 18, 18, 5)"
6,1,"(7,)","(11,)"
6,2,"(0, 6, 13, 5, 12, 1, 11, 10, 2)","(14, 5, 14, 18, 15, 7, 2, 5, 13)"
6,3,"(5, 10, 11, 6, 3, 7, 13, 4, 14, 12, 0)","(8, 4, 18, 10, 17, 1, 9, 9, 16, 2, 4)"
6,4,"(6, 3, 5, 4, 2, 10, 8, 7, 0, 14, 12, 13)","(12, 13, 6, 14, 20, 2, 3, 4, 18, 9, 1, 20)"
6,5,"(5, 0, 8, 10, 3, 13, 2, 4, 1, 9, 7)","(18, 12, 5, 15, 3, 12, 19, 3, 8, 6, 19)"
6,6,"(3, 11, 1, 10, 4, 8, 5, 14, 0, 12, 7, 9, 2)","(14, 7, 4, 8, 9, 10, 10, 12, 6, 11, 16, 3, 5)"
7,0,"(12, 8, 13, 9, 3, 5, 1, 10, 6, 14, 0, 4, 11)","(15, 10, 6, 6, 3, 8, 11, 17, 14, 9, 6, 15, 11)"
7,1,"(7, 5, 9, 0, 1, 13, 2, 10, 12, 8)","(14, 7, 9, 19, 7, 18, 14, 15, 15, 2)"
7,2,"(6, 4, 7, 3, 8, 11)","(9, 17, 2, 20, 9, 19)"
7,3,"(14, 9, 10, 2, 6, 13, 7, 1)","(19, 8, 17, 9, 1, 4, 20, 17)"
7,4,"(8, 0, 2, 12, 13, 1)","(14, 2, 7, 7, 4, 16)"
7,5,"(6, 7, 2)","(8, 13, 7)"
7,6,"(11, 3, 12, 5, 4, 10, 2, 14, 13)","(10, 7, 13, 12, 20, 15, 13, 9, 1)"
7,7,"(7, 6, 8, 5, 10)","(16, 19, 9, 2, 11)"
7,8,"(0, 4, 3, 12, 7)","(12, 11, 17, 3, 18)"
7,9,"(8, 1, 2, 11)","(14, 6, 11, 16)"
