kind,task,machine_selectable,process_time
0,0,"(9, 0, 4, 6, 1, 2, 8, 3)","(4, 18, 14, 13, 11, 15, 20, 19)"
0,1,"(2, 9, 7, 8, 4, 3, 5, 1)","(13, 13, 7, 12, 3, 6, 11, 18)"
0,2,"(4,)","(1,)"
0,3,"(4, 0, 6)","(16, 19, 10)"
0,4,"(9, 6, 1, 8, 0)","(12, 10, 16, 17, 8)"
0,5,"(7,)","(20,)"
0,6,"(2, 4, 9, 7, 3, 1)","(20, 8, 15, 20, 16, 3)"
0,7,"(6,)","(12,)"
0,8,"(9, 8, 3, 1, 5, 2)","(15, 4, 13, 7, 1, 9)"
1,0,"(7, 0, 9, 8, 3, 2, 6, 5)","(12, 4, 17, 14, 3, 5, 15, 8)"
1,1,"(7, 5, 8, 2, 4, 6, 1, 0, 3)","(12, 16, 1, 7, 8, 12, 20, 12, 13)"
1,2,"(0, 7, 8, 4)","(2, 1, 11, 18)"
1,3,"(8, 1, 9, 0, 2, 3, 4, 7, 6)","(18, 2, 8, 13, 12, 20, 4, 1, 17)"
1,4,"(8, 0)","(17, 3)"
1,5,"(4, 3, 8, 5, 0, 7)","(19, 10, 20, 14, 4, 1)"
1,6,"(1, 8, 5, 4, 6, 9)","(15, 12, 7, 19, 8, 14)"
1,7,"(7,)","(9,)"
1,8,"(7, 5, 6)","(2, 15, 2)"
2,0,"(5, 1, 7, 6, 2, 3)","(11, 12, 10, 5, 14, 8)"
2,1,"(9, 0, 3, 8, 6, 7, 1)","(9, 6, 1, 13, 18, 15, 11)"
2,2,"(0, 1)","(10, 4)"
2,3,"(9, 1, 8, 0, 4, 3, 5, 2, 6, 7)","(1, 16, 18, 16, 18, 9, 13, 9, 19, 9)"
2,4,"(1, 5, 8, 2, 3, 7)","(14, 8, 5, 13, 11, 1)"
2,5,"(1, 7, 0, 2, 8, 5, 3)","(20, 19, 4, 5, 17, 11, 8)"
3,0,"(0, 1, 7, 3, 9, 8)","(6, 6, 15, 8, 16, 15)"
3,1,"(2, 3, 5, 4, 1, 6)","(1, 10, 12, 9, 10, 5)"
3,2,"(0, 4)","(5, 14)"
3,3,"(4, 9, 6)","(17, 18, 2)"
3,4,"(9, 1)","(8, 5)"
3,5,"(1, 3, 0, 5, 4, 6)","(15, 12, 9, 19, 2, 17)"
3,6,"(7, 8, 9, 0, 5, 6, 1, 3, 4)","(19, 6, 20, 5, 11, 14, 14, 15, 15)"
4,0,"(0,)","(9,)"
4,1,"(0, 8)","(20, 18)"
4,2,"(6, 4, 3, 0, 5, 8)","(20, 17, 9, 8, 5, 3)"
4,3,"(4, 3, 8, 6, 7)","(18, 4, 16, 16, 6)"
4,4,"(1, 9, 3, 2, 0, 7, 5, 6, 8)","(8, 5, 7, 18, 9, 18, 15, 15, 15)"
4,5,"(6, 3)","(10, 10)"
4,6,"(1,)","(17,)"
5,0,"(4, 9, 0, 6, 1)","(11, 6, 19, 15, 11)"
5,1,"(2, 8, 5)","(7, 9, 13)"
5,2,"(9, 1, 2, 6, 3, 7, 8, 5)","(11, 20, 11, 11, 17, 6, 8, 1)"
5,3,"(1, 9, 2, 8, 7, 5, 3, 6, 4)","(13, 10, 17, 6, 3, 2, 1, 5, 19)"
5,4,"(0, 1, 4, 7, 8)","(19, 4, 18, 12, 8)"
5,5,"(5, 8, 7, 6, 0, 1, 9, 3, 4, 2)","(16, 7, 4, 17, 20, 6, 11, 15, 14, 18)"
5,6,"(5, 2, 8, 6, 7, 3, 9, 1, 4)","(19, 17, 6, 5, 8, 20, 4, 1, 14)"
5,7,"(0, 7, 1, 5, 8, 9, 6, 2, 4)","(2, 11, 6, 6, 2, 7, 15, 15, 15)"
