kind,task,machine_selectable,process_time
0,0,"(5,)","(20,)"
0,1,"(5, 4, 10, 7, 3)","(6, 3, 17, 9, 14)"
0,2,"(10, 3, 0, 14, 9, 5, 1, 4, 11, 6, 8, 2)","(7, 7, 3, 1, 7, 15, 3, 11, 20, 10, 18, 18)"
0,3,"(6, 1, 13, 2, 14, 4)","(3, 11, 14, 1, 10, 20)"
0,4,"(1, 14, 10, 0, 9, 4, 3, 8, 6, 13, 11, 2, 5)","(8, 3, 3, 1, 2, 18, 6, 13, 11, 14, 14, 14, 15)"
1,0,"(12, 10, 0, 11, 5, 4, 1, 14, 13, 2, 6)","(18, 19, 17, 6, 6, 2, 19, 2, 9, 13, 12)"
1,1,"(11, 0, 8)","(8, 18, 5)"
1,2,"(13, 1, 10, 8, 7, 11, 3, 12, 0)","(11, 3, 2, 11, 15, 4, 1, 11, 19)"
1,3,"(4, 13, 12, 6, 0, 14, 8, 10, 2, 1, 7, 3, 5, 9)","(8, 5, 2, 11, 5, 20, 20, 11, 20, 18, 16, 14, 2, 7)"
1,4,"(4, 12)","(13, 12)"
1,5,"(8, 0, 7, 13, 6, 4, 12, 1, 3, 5, 10, 11, 9)","(19, 13, 9, 14, 2, 3, 10, 8, 1, 11, 16, 19, 13)"
1,6,"(12, 13, 0, 14, 6, 1, 7, 8, 11, 3, 2, 9)","(18, 3, 3, 15, 12, 9, 15, 9, 4, 5, 18, 2)"
1,7,"(8, 5, 0, 9, 13, 3, 10, 12, 7)","(11, 11, 7, 8, 3, 10, 3, 17, 7)"
1,8,"(3, 8, 4, 11)","(6, 19, 9, 6)"
2,0,"(3, 14, 1, 13, 7, 6, 4, 9)","(12, 14, 20, 6, 20, 2, 10, 17)"
2,1,"(7, 14, 6, 13)","(3, 1, 5, 3)"
2,2,"(0, 8, 6)","(7, 19, 18)"
2,3,"(11, 8, 10, 2)","(3, 2, 3, 5)"
2,4,"(7, 3, 5, 14, 4)","(16, 8, 9, 20, 6)"
2,5,"(10, 5, 2, 11, 13, 7, 14, 0, 3, 8, 1, 12, 4)","(16, 3, 7, 19, 8, 7, 3, 6, 6, 16, 5, 3, 9)"
2,6,"(6, 11, 8, 0, 4, 10, 7, 13, 9, 12, 3, 1, 14, 2, 5)","(5, 20, 18, 3, 19, 18, 4, 12, 17, 19, 12, 16, 10, 5, 15)"
3,0,"(11, 10, 13, 8, 2, 9, 5, 1)","(17, 5, 8, 3, 16, 2, 10, 4)"
3,1,"(10, 4, 14, 13, 3, 9, 2, 1)","(15, 6, 4, 20, 18, 3, 15, 1)"
3,2,"(14, 6, 10, 13, 11, 4, 5, 12, 3, 7, 1, 9, 0, 2)","(9, 6, 14, 17, 6, 20, 19, 11, 11, 20, 10, 10, 17, 14)"
3,3,"(2, 13, 4, 10)","(8, 15, 11, 18)"
3,4,"(9, 1, 8, 11)","(1, 9, 7, 1)"
3,5,"(12, 1, 9)","(15, 20, 18)"
3,6,"(12, 13, 1, 9, 7, 6)","(3, 5, 18, 19, 7, 5)"
4,0,"(4, 11, 0, 5, 8, 12, 2, 7, 10, 9, 13, 1)","(16, 8, 10, 11, 3, 9, 16, 13, 16, 12, 6, 1)"
4,1,"(1, 0, 2, 10, 9, 3, 13, 4, 5, 12)","(20, 17, 12, 10, 2, 20, 16, 14, 17, 11)"
4,2,"(5,)","(8,)"
4,3,"(3, 2, 11)","(19, 11, 10)"
4,4,"(3,)","(4,)"
4,5,"(14, 9, 2, 8, 6)","(11, 10, 20, 18, 1)"
4,6,"(13,)","(7,)"
4,7,"(7, 3, 10, 0, 8, 6, 9, 13, 11, 4, 14, 2, 1)","(15, 6, 18, 13, 19, 20, 2, 14, 5, 1, 17, 14, 14)"
4,8,"(14, 5, 7, 10, 9, 12, 0, 8, 11, 1, 4, 6, 2, 3, 13)","(4, 6, 16, 8, 9, 13, 4, 10, 7, 2, 6, 12, 13, 14, 8)"
5,0,"(4, 0, 5, 11, 7, 13, 14, 10)","(14, 5, 18, 10, 5, 1, 18, 15)"
5,1,"(7, 3, 0, 1, 13, 10, 14)","(16, 9, 16, 20, 15, 6, 20)"
5,2,"(8, 6, 5, 1, 11, 9)","(15, 6, 3, 8, 13, 5)"
5,3,"(1, 5, 6, 10, 11)","(15, 13, 3, 20, 15)"
5,4,"(13, 0, 8, 5)","(8, 12, 4, 7)"
5,5,"(0, 6, 10, 2, 5, 9, 8, 1, 14, 11)","(2, 3, 10, 3, 14, 15, 15, 12, 14, 16)"
5,6,"(3, 5, 13, 7, 1, 14)","(4, 13, 8, 5, 5, 7)"
5,7,"(7, 14, 13, 9, 8, 0, 11, 5, 3, 6, 2, 1, 4)","(5, 17, 10, 13, 20, 11, 20, 11, 6, 4, 13, 7, 11)"
6,0,"(1, 10, 11, 3, 0, 5, 2, 12, 7, 13, 8, 6)","(18, 2, 13, 15, 4, 3, 4, 1, 12, 4, 19, 16)"
6,1,"(6, 9, 10, 1, 11, 0, 4)","(17, 13, 3, 17, 2, 9, 14)"
6,2,"(0, 14, 12, 10, 2, 4, 13, 3, 5, 11, 1, 6, 8)","(12, 5, 9, 10, 8, 7, 11, 20, 2, 16, 16, 20, 19)"
6,3,"(11, 0)","(10, 12)"
6,4,"(0, 2, 1, 9)","(12, 4, 12, 8)"
