kind,task,machine_selectable,process_time
0,0,"(0, 2, 9, 1, 3, 5, 11, 10)","(12, 16, 10, 7, 4, 6, 15, 5)"
0,1,"(10, 11, 13, 0, 4, 12, 7, 3)","(11, 16, 13, 12, 2, 11, 16, 18)"
0,2,"(12,)","(10,)"
0,3,"(8, 9, 3, 11, 4, 6, 13, 1, 0, 14, 2, 12, 10, 5)","(13, 7, 3, 4, 13, 7, 11, 17, 17, 20, 4, 6, 1, 19)"
0,4,"(14, 10, 5, 11, 2, 12)","(3, 13, 8, 20, 9, 7)"
0,5,"(1, 6, 2, 12, 3, 13, 7)","(12, 15, 16, 17, 9, 9, 6)"
0,6,"(14, 3, 10, 8, 1, 9, 6, 7)","(3, 6, 6, 2, 4, 2, 17, 14)"
0,7,"(10, 13, 0, 6, 7)","(12, 20, 13, 1, 8)"
1,0,"(9, 10)","(16, 11)"
1,1,"(0, 1, 2, 3, 12, 11, 13, 8, 14, 7, 10, 9, 5, 4)","(6, 2, 20, 12, 16, 4, 8, 15, 9, 6, 4, 2, 19, 7)"
1,2,"(12, 3, 10, 2)","(18, 14, 8, 5)"
1,3,"(2, 9, 3, 1, 8, 6, 13, 14, 10, 4, 7, 12, 11, 0)","(8, 1, 2, 10, 4, 20, 11, 18, 18, 1, 11, 11, 19, 1)"
1,4,"(3, 6, 13, 2, 1, 0, 7, 4, 12)","(4, 15, 7, 7, 11, 8, 10, 19, 18)"
1,5,"(4, 3, 1, 5)","(2, 19, 6, 3)"
1,6,"(13, 2, 3, 1, 5, 12, 6, 0, 8, 9, 4, 10, 14)","(2, 17, 2, 14, 14, 3, 8, 11, 4, 17, 7, 15, 16)"
2,0,"(9, 4, 12, 1, 5, 10, 0, 13, 11, 7, 6, 2, 14)","(3, 16, 9, 18, 15, 7, 7, 3, 11, 18, 17, 9, 13)"
2,1,"(10, 4, 12)","(1, 9, 3)"
2,2,"(0, 13, 4, 2, 7)","(2, 18, 4, 15, 9)"
2,3,"(2, 12, 3, 6, 10, 13, 0, 1, 11, 8, 7, 5, 4, 9, 14)","(9, 13, 6, 10, 16, 13, 11, 16, 7, 3, 9, 19, 14, 14, 8)"
2,4,"(9, 11, 10, 2, 14, 8, 12, 5, 7, 1, 13, 0, 4, 6)","(14, 10, 15, 6, 16, 3, 8, 10, 4, 7, 2, 6, 18, 8)"
2,5,"(8, 10, 13, 6, 14, 1, 9, 7, 11, 2, 12, 5, 0)","(7, 19, 13, 12, 10, 1, 1, 3, 1, 14, 20, 3, 13)"
2,6,"(13, 12, 5, 3, 9)","(10, 16, 17, 13, 2)"
