order,time_arrive,time_delivery,kind_number
0,0,143,"(9, 7, 10, 7, 10, 5, 5, 5, 6)"
1,139,288,"(6, 7, 10, 8, 7, 9, 10, 5, 9)"
2,312,464,"(7, 8, 10, 9, 6, 8, 9, 8, 7)"
3,419,553,"(5, 7, 5, 5, 10, 10, 10, 5, 6)"
4,547,686,"(7, 7, 9, 10, 6, 8, 7, 5, 6)"
5,694,825,"(6, 6, 6, 5, 9, 7, 8, 6, 9)"
6,864,1022,"(7, 9, 10, 8, 10, 5, 6, 10, 8)"
7,994,1152,"(7, 10, 9, 7, 8, 6, 10, 8, 10)"
8,1100,1258,"(10, 7, 9, 10, 10, 5, 6, 10, 5)"
9,1291,1432,"(6, 10, 7, 8, 5, 9, 5, 10, 7)"
10,1477,1627,"(9, 9, 8, 5, 7, 8, 5, 10, 9)"
11,1620,1761,"(6, 8, 10, 5, 6, 7, 5, 10, 10)"
12,1740,1888,"(8, 5, 9, 10, 7, 10, 8, 7, 5)"
13,1860,1993,"(5, 5, 10, 8, 9, 6, 6, 5, 8)"
14,1987,2116,"(8, 5, 8, 9, 7, 5, 6, 5, 7)"
