kind,task,machine_selectable,process_time
0,0,"(5, 2, 6, 11, 13, 0, 3, 7, 12, 1, 14, 4)","(4, 8, 6, 18, 5, 7, 12, 16, 12, 12, 11, 14)"
0,1,"(6, 11, 4)","(4, 10, 17)"
0,2,"(12, 10, 9, 0, 3, 7, 14, 5, 2, 13, 8, 1, 6, 11)","(5, 7, 10, 17, 9, 8, 11, 18, 3, 11, 19, 17, 12, 13)"
0,3,"(0, 4, 8, 10, 1, 3, 7, 13, 11, 9, 2, 5, 14, 6)","(18, 8, 18, 4, 4, 4, 7, 3, 18, 20, 12, 15, 9, 14)"
0,4,"(9, 13, 4, 12, 2, 3)","(3, 4, 6, 10, 18, 5)"
0,5,"(11, 9, 3, 12, 2, 8, 0, 1, 13, 4)","(7, 7, 12, 11, 20, 2, 15, 17, 1, 16)"
0,6,"(10, 8, 13)","(10, 4, 1)"
0,7,"(3, 10, 14, 6, 7, 12, 8, 4, 1, 0, 5, 13)","(9, 11, 3, 18, 3, 17, 20, 10, 12, 12, 18, 3)"
0,8,"(7, 14, 9, 8, 4, 11, 13, 3, 12)","(20, 16, 1, 5, 1, 18, 19, 14, 18)"
0,9,"(14, 5, 3, 12, 4, 0, 11, 10, 7, 2, 8, 1, 13)","(11, 10, 3, 4, 17, 8, 17, 2, 3, 16, 8, 11, 3)"
1,0,"(3,)","(10,)"
1,1,"(12, 1, 14, 4, 5, 0, 2, 6, 3, 10, 13, 7, 9, 11, 8)","(13, 5, 20, 4, 15, 10, 15, 10, 16, 14, 14, 2, 7, 20, 12)"
1,2,"(14, 0, 5, 7, 2, 8, 1, 13, 9, 11, 6)","(1, 1, 20, 9, 9, 3, 11, 10, 2, 7, 15)"
1,3,"(10, 11, 13, 0, 5, 12, 1, 4, 6)","(18, 19, 19, 8, 4, 1, 5, 12, 4)"
1,4,"(12, 14, 6, 8, 10, 9, 0, 3, 1)","(8, 5, 16, 4, 20, 7, 2, 5, 2)"
2,0,"(14, 8, 3, 5, 12, 11, 0, 1, 7, 13, 6)","(13, 10, 4, 9, 18, 4, 17, 13, 2, 3, 7)"
2,1,"(11, 4, 5, 2, 6, 8, 1, 10, 7, 13, 12, 14)","(19, 7, 20, 9, 3, 15, 4, 11, 20, 1, 14, 14)"
2,2,"(0, 12, 7)","(4, 18, 11)"
2,3,"(13, 11, 0, 3, 12, 5, 6, 9, 10)","(15, 7, 7, 20, 18, 13, 18, 16, 11)"
2,4,"(11, 9, 7)","(16, 15, 15)"
2,5,"(4, 14, 6, 3, 2, 13, 1, 12, 0, 9, 5, 11, 7)","(6, 7, 11, 5, 4, 11, 19, 6, 20, 8, 7, 2, 13)"
2,6,"(3, 11, 10, 12)","(20, 3, 2, 17)"
2,7,"(3, 2, 14, 6, 9, 12, 11, 1)","(17, 8, 14, 20, 13, 19, 19, 9)"
2,8,"(6, 7, 0, 12)","(15, 15, 20, 7)"
2,9,"(10, 13)","(17, 2)"
3,0,"(13,)","(11,)"
3,1,"(11, 6, 8, 0, 9, 5, 13, 1)","(2, 15, 7, 16, 1, 4, 7, 17)"
3,2,"(11, 6, 14, 2, 9, 5)","(17, 12, 12, 12, 8, 10)"
3,3,"(13, 12, 11, 0, 10, 5, 2, 1)","(4, 20, 12, 13, 15, 7, 5, 11)"
3,4,"(2, 11, 12, 9, 1, 0, 3, 10)","(7, 7, 4, 7, 9, 12, 8, 9)"
3,5,"(13, 12, 6, 4, 2, 3, 10, 7, 11, 8, 0, 1)","(20, 7, 6, 5, 19, 14, 18, 11, 18, 15, 1, 11)"
4,0,"(9, 7, 1, 2, 10, 14, 11, 0)","(3, 4, 2, 14, 8, 5, 1, 5)"
4,1,"(13, 11, 12, 4, 8, 9, 1, 0, 5, 6, 7, 2)","(7, 15, 20, 13, 14, 8, 12, 15, 14, 20, 18, 12)"
4,2,"(11, 13, 9, 3, 6, 8, 5)","(17, 1, 11, 11, 12, 13, 16)"
4,3,"(7, 13, 10, 9, 1, 4, 2, 6, 14, 5, 8, 11, 3, 0, 12)","(19, 10, 6, 3, 4, 4, 7, 6, 11, 18, 11, 7, 16, 2, 4)"
4,4,"(5, 0, 13)","(19, 18, 7)"
4,5,"(0, 1, 4, 7, 8, 14, 12, 2, 9, 6, 11, 3)","(15, 9, 7, 11, 4, 12, 14, 4, 6, 14, 17, 3)"
4,6,"(10, 11, 0, 6, 4, 9, 12, 2, 5, 1, 8, 14, 7, 3)","(15, 3, 11, 15, 17, 11, 8, 18, 17, 15, 8, 3, 3, 5)"
4,7,"(1, 0, 14, 7, 10, 6, 8, 4, 3, 11)","(18, 5, 19, 17, 10, 14, 1, 20, 9, 16)"
5,0,"(9, 0, 7, 10, 4, 11, 5, 13)","(12, 3, 18, 19, 5, 11, 15, 15)"
5,1,"(5, 0, 1, 7, 2, 14, 11, 13, 6, 3, 8, 12)","(7, 5, 19, 7, 11, 20, 8, 6, 9, 1, 19, 10)"
5,2,"(14,)","(3,)"
5,3,"(10, 1, 11, 12, 8, 14, 5, 13)","(18, 16, 7, 17, 15, 17, 8, 1)"
5,4,"(12, 13, 4, 9)","(12, 10, 4, 15)"
5,5,"(12, 6, 1, 14, 2, 4, 0, 8, 5, 11, 3)","(4, 9, 6, 9, 1, 10, 13, 13, 16, 15, 11)"
5,6,"(9, 6, 3, 2, 4, 13, 0, 11, 7, 1, 10)","(12, 20, 9, 7, 2, 19, 19, 19, 6, 16, 20)"
5,7,"(13, 5, 4, 10, 0, 14, 3, 6, 11, 9, 7, 12, 1)","(5, 16, 13, 11, 2, 15, 17, 20, 13, 7, 18, 15, 20)"
5,8,"(11, 1, 14, 6, 3, 7, 13, 4, 10, 9, 8, 12, 2, 0, 5)","(10, 3, 7, 5, 5, 14, 7, 7, 17, 5, 3, 1, 13, 5, 19)"
5,9,"(7, 0)","(2, 16)"
6,0,"(9, 10, 14, 8, 2, 3, 7, 12)","(17, 3, 1, 11, 8, 14, 6, 2)"
6,1,"(5, 10, 3, 13, 0)","(9, 5, 13, 19, 16)"
6,2,"(8, 10, 12, 14, 0, 13, 4, 11, 7)","(9, 6, 12, 16, 8, 15, 17, 19, 1)"
6,3,"(9, 2, 11, 3, 6, 13, 4, 1, 5, 14, 10, 12, 8, 0)","(2, 3, 4, 20, 9, 17, 17, 8, 13, 6, 15, 2, 5, 17)"
6,4,"(13, 0, 7, 9, 10, 1, 5, 2, 11, 3, 8)","(8, 6, 12, 14, 15, 12, 7, 5, 12, 13, 6)"
6,5,"(11, 14, 0, 10, 13, 12, 9, 4, 1, 3, 5, 8, 6, 7, 2)","(1, 3, 17, 1, 18, 10, 12, 4, 15, 10, 7, 8, 8, 18, 4)"
6,6,"(0, 12, 7, 14, 5, 3, 9, 13, 10, 4, 1, 2, 8, 11, 6)","(8, 1, 8, 13, 11, 7, 7, 8, 20, 1, 5, 13, 3, 19, 9)"
6,7,"(1,)","(16,)"
6,8,"(2, 3, 5, 0, 6, 10, 4, 1, 11, 14, 13, 7, 9)","(1, 3, 9, 18, 1, 8, 12, 3, 9, 9, 17, 17, 7)"
7,0,"(0, 2, 14, 3, 6, 13, 1, 11, 7)","(8, 6, 9, 13, 12, 5, 5, 18, 4)"
7,1,"(5, 3, 1)","(19, 8, 2)"
7,2,"(10, 9, 3, 4, 6, 14, 1, 11, 2, 0, 12)","(6, 4, 7, 11, 7, 20, 5, 5, 20, 20, 11)"
7,3,"(8, 14, 0, 3)","(9, 2, 11, 4)"
7,4,"(2,)","(6,)"
7,5,"(0, 6, 12, 13)","(12, 18, 7, 12)"
7,6,"(10, 13)","(9, 15)"
8,0,"(4, 9, 5, 11, 1)","(4, 12, 10, 7, 13)"
8,1,"(2, 14, 7, 4)","(13, 3, 17, 3)"
8,2,"(14, 12, 4, 6, 11, 0, 1, 3)","(9, 7, 10, 12, 13, 19, 3, 4)"
