kind,task,machine_selectable,process_time
0,0,"(1, 12, 14, 3, 5, 2, 10, 7)","(4, 19, 16, 3, 8, 10, 8, 16)"
0,1,"(4, 13, 7, 9, 0)","(15, 4, 4, 5, 8)"
0,2,"(1, 13, 3, 14)","(11, 20, 12, 11)"
0,3,"(11, 3, 14, 0, 8, 7, 12, 9, 2, 5)","(17, 2, 18, 10, 7, 4, 20, 3, 4, 9)"
0,4,"(9, 13, 12, 10, 14, 7, 3)","(5, 12, 20, 7, 7, 12, 3)"
0,5,"(7, 5, 6, 3, 8, 0)","(1, 7, 14, 9, 6, 15)"
1,0,"(10,)","(7,)"
1,1,"(2, 5, 1, 11, 3, 0, 8, 13, 10, 12, 9, 6, 7, 4, 14)","(17, 20, 12, 9, 17, 11, 15, 18, 11, 10, 4, 14, 3, 11, 18)"
1,2,"(0, 5, 4, 6, 1)","(3, 20, 4, 5, 11)"
1,3,"(7, 14, 13, 3, 12, 11, 1, 9, 0, 6, 2, 4)","(20, 5, 18, 19, 1, 17, 7, 14, 17, 8, 5, 11)"
1,4,"(5, 8, 6, 14, 0, 2, 1, 3, 11, 12, 4, 9, 13, 7, 10)","(14, 2, 20, 1, 17, 18, 10, 12, 18, 11, 10, 15, 3, 4, 1)"
1,5,"(11, 4, 7, 8, 13, 6, 10, 0, 5, 12, 14)","(4, 2, 16, 1, 13, 2, 20, 9, 7, 8, 15)"
1,6,"(10, 1, 4, 6, 7, 3, 0, 5)","(3, 10, 9, 8, 14, 14, 17, 4)"
2,0,"(14,)","(10,)"
2,1,"(0, 1, 8, 2, 12, 5, 11, 3, 7, 10, 9, 14)","(10, 6, 8, 12, 7, 1, 12, 10, 9, 17, 2, 20)"
2,2,"(9, 14, 2)","(7, 3, 4)"
2,3,"(2, 4, 12, 13, 1, 9, 14, 3, 10)","(17, 3, 7, 6, 13, 15, 16, 17, 2)"
2,4,"(6, 1, 8, 7, 2)","(13, 2, 11, 12, 15)"
2,5,"(10, 8)","(7, 19)"
2,6,"(12, 1, 10, 7, 8, 11, 6, 0, 5, 9, 4, 13)","(17, 16, 11, 17, 4, 16, 19, 14, 1, 6, 19, 12)"
2,7,"(5, 2, 6, 9, 7, 14, 4, 8)","(20, 20, 5, 10, 13, 16, 9, 17)"
2,8,"(13, 3, 7, 6, 9)","(1, 5, 1, 9, 1)"
2,9,"(12,)","(16,)"
