order,time_arrive,time_delivery,kind_number
0,0,315,"(8, 6, 9, 7, 8, 6, 10, 6, 9, 9, 6, 7, 9)"
1,155,455,"(10, 8, 8, 5, 6, 10, 5, 9, 5, 6, 8, 10, 5)"
2,265,588,"(8, 6, 9, 8, 5, 10, 9, 6, 10, 7, 10, 7, 8)"
3,419,757,"(9, 8, 10, 5, 7, 8, 7, 8, 8, 9, 9, 8, 10)"
4,577,896,"(9, 7, 10, 8, 10, 8, 6, 5, 7, 9, 10, 7, 6)"
5,756,1070,"(8, 7, 10, 9, 10, 6, 7, 6, 9, 6, 9, 5, 10)"
6,882,1197,"(9, 10, 6, 5, 9, 5, 7, 8, 10, 10, 7, 6, 7)"
7,1006,1276,"(5, 10, 6, 5, 6, 5, 7, 8, 5, 6, 8, 6, 9)"
8,1137,1442,"(6, 9, 5, 7, 9, 6, 6, 7, 5, 10, 9, 10, 8)"
9,1298,1575,"(5, 5, 7, 6, 6, 9, 6, 7, 9, 6, 8, 10, 5)"
10,1460,1770,"(6, 8, 10, 10, 8, 8, 7, 5, 10, 7, 5, 9, 6)"
11,1596,1876,"(7, 8, 8, 5, 8, 8, 7, 7, 5, 5, 6, 6, 10)"
12,1712,1993,"(6, 8, 6, 7, 8, 7, 8, 5, 5, 8, 10, 7, 5)"
13,1905,2220,"(7, 10, 8, 9, 8, 6, 6, 7, 8, 5, 8, 10, 9)"
14,2049,2343,"(9, 9, 7, 8, 6, 6, 5, 6, 6, 7, 8, 7, 9)"
