kind,task,machine_selectable,process_time
0,0,"(17,)","(14,)"
0,1,"(3,)","(1,)"
0,2,"(14, 15, 3, 13, 6, 11, 10, 19, 1, 2, 17, 0, 18, 9, 8, 4, 5, 7)","(17, 15, 18, 12, 20, 17, 11, 11, 3, 8, 15, 9, 17, 18, 14, 19, 20, 13)"
0,3,"(2, 12, 11, 1, 4, 5, 7, 8, 17, 15, 3, 10, 19, 16)","(6, 12, 2, 13, 18, 9, 8, 4, 19, 13, 14, 1, 15, 1)"
0,4,"(6, 10, 17, 1, 12, 7, 9, 15)","(9, 9, 3, 18, 2, 17, 4, 11)"
0,5,"(1, 7, 9, 3, 13, 15, 14, 19, 16, 4, 10, 18, 12, 5, 11)","(8, 20, 7, 15, 14, 11, 10, 6, 9, 4, 1, 13, 11, 2, 14)"
0,6,"(7, 4, 8, 6, 18, 9, 5, 16, 15, 10, 2, 11, 17, 19, 13, 12, 1, 14, 3)","(7, 13, 7, 16, 12, 10, 2, 7, 8, 1, 14, 18, 2, 13, 1, 1, 2, 12, 14)"
0,7,"(13, 5, 8)","(10, 8, 18)"
1,0,"(18, 6, 16, 14, 15, 12, 8, 9, 0, 2)","(4, 1, 20, 9, 9, 14, 11, 3, 1, 12)"
1,1,"(17, 13, 5, 18, 9, 11)","(4, 12, 18, 5, 12, 10)"
1,2,"(10, 18, 14, 15, 0, 16, 1, 7, 13, 11, 19)","(13, 6, 1, 5, 11, 15, 20, 10, 17, 18, 10)"
1,3,"(3, 4, 17, 7, 8, 6, 9, 13, 0, 19)","(2, 8, 15, 5, 2, 15, 19, 12, 19, 5)"
1,4,"(4, 10, 0, 13, 11, 2, 1, 8, 18, 7)","(14, 6, 15, 9, 7, 2, 6, 10, 7, 15)"
1,5,"(13, 6, 5, 3, 18, 16, 8, 2, 7, 14, 19, 15, 0, 9, 10, 4)","(13, 7, 19, 14, 4, 11, 1, 5, 12, 16, 2, 19, 17, 11, 13, 11)"
2,0,"(14, 2)","(16, 10)"
2,1,"(16, 17, 14, 2, 4, 11, 3, 19)","(9, 2, 13, 2, 16, 17, 12, 9)"
2,2,"(9, 19, 17, 5, 11, 1, 2)","(10, 1, 7, 20, 1, 8, 12)"
2,3,"(16, 18, 6, 14, 2, 15, 8, 1, 9, 3, 11, 5, 10, 17, 4, 7)","(19, 1, 12, 7, 2, 17, 7, 2, 4, 7, 12, 8, 5, 2, 15, 7)"
2,4,"(14, 16, 8, 5, 13, 6, 15, 10, 4, 18, 12, 9, 1, 11)","(8, 19, 6, 18, 6, 5, 11, 9, 14, 20, 7, 3, 18, 3)"
2,5,"(8, 0, 11, 18, 5, 15, 4, 6, 12, 2, 1, 7, 3, 16)","(18, 8, 4, 11, 5, 20, 7, 19, 20, 16, 18, 9, 16, 19)"
