order,time_arrive,time_delivery,kind_number
0,0,91,"(9, 5, 7, 6, 8, 8, 10, 7, 6, 8, 7, 8, 7)"
1,132,236,"(9, 9, 10, 10, 10, 7, 8, 9, 6, 9, 6, 10, 6)"
2,234,327,"(6, 8, 9, 8, 9, 9, 6, 5, 6, 9, 5, 10, 7)"
3,427,516,"(8, 5, 5, 5, 8, 10, 7, 5, 5, 9, 8, 7, 10)"
4,549,639,"(7, 5, 6, 9, 8, 7, 9, 5, 6, 6, 8, 10, 8)"
5,698,793,"(10, 8, 5, 5, 10, 7, 8, 7, 8, 9, 7, 8, 9)"
6,867,972,"(7, 10, 10, 6, 10, 8, 10, 10, 9, 8, 9, 6, 7)"
7,981,1084,"(9, 8, 8, 9, 9, 7, 5, 9, 10, 8, 9, 9, 7)"
8,1129,1231,"(6, 6, 10, 8, 8, 10, 5, 10, 10, 9, 6, 10, 8)"
9,1317,1424,"(10, 7, 10, 10, 6, 6, 10, 10, 10, 10, 6, 10, 9)"
