kind,task,machine_selectable,process_time
0,0,"(3, 8, 6, 7)","(17, 17, 18, 17)"
0,1,"(0, 9, 2, 6, 1, 4, 7, 3)","(8, 2, 3, 15, 17, 18, 2, 11)"
0,2,"(0, 1, 5, 2, 4, 8, 7, 6)","(11, 3, 14, 12, 3, 13, 4, 19)"
0,3,"(9, 1, 6, 7, 2, 0, 8)","(10, 7, 11, 3, 10, 15, 11)"
0,4,"(7, 1, 2, 9, 0, 8, 6, 4, 5, 3)","(5, 9, 13, 11, 15, 9, 18, 16, 12, 1)"
0,5,"(8,)","(1,)"
1,0,"(5, 4)","(9, 18)"
1,1,"(8,)","(16,)"
1,2,"(4, 3, 7, 1, 2, 8, 0, 6, 9, 5)","(5, 16, 20, 10, 15, 11, 5, 8, 6, 15)"
1,3,"(4,)","(1,)"
1,4,"(4, 0, 2, 8, 7, 6, 3, 1)","(8, 13, 15, 13, 1, 6, 3, 13)"
2,0,"(3, 1, 6)","(11, 17, 16)"
2,1,"(1, 2, 6, 7, 9, 3, 4, 8, 5)","(4, 15, 1, 8, 7, 20, 11, 11, 16)"
2,2,"(9, 5, 4, 1, 2, 6, 3)","(2, 8, 2, 9, 3, 16, 20)"
2,3,"(0, 4, 9, 5, 6, 2)","(8, 2, 13, 12, 18, 11)"
2,4,"(1, 6, 4, 3, 2, 0)","(3, 20, 10, 20, 5, 17)"
2,5,"(4, 6, 3, 2, 9)","(17, 11, 3, 3, 8)"
2,6,"(6,)","(15,)"
3,0,"(7,)","(10,)"
3,1,"(6, 1, 2, 3, 4, 5)","(7, 17, 6, 4, 2, 7)"
3,2,"(4, 7, 5, 9, 1, 8, 0, 6, 2)","(3, 18, 19, 9, 10, 20, 12, 18, 13)"
3,3,"(1, 2, 5, 8, 0, 3, 7, 9, 6)","(19, 10, 17, 17, 4, 13, 5, 4, 16)"
3,4,"(8, 9, 7, 3)","(5, 12, 8, 20)"
3,5,"(2, 1)","(10, 13)"
4,0,"(3, 1, 7, 9, 2, 6, 8, 0, 5, 4)","(12, 10, 10, 17, 1, 14, 11, 15, 3, 20)"
4,1,"(4, 0, 8, 9)","(9, 1, 19, 12)"
4,2,"(1, 9)","(15, 13)"
4,3,"(0, 3, 2, 7, 8, 5)","(16, 12, 18, 5, 1, 6)"
4,4,"(6, 1, 9, 7, 3, 5, 2, 4)","(16, 9, 18, 2, 10, 3, 3, 1)"
5,0,"(0, 4)","(14, 4)"
5,1,"(7, 0, 2, 5, 6, 1, 9)","(10, 12, 5, 11, 7, 14, 18)"
5,2,"(3, 7, 4, 6)","(5, 9, 18, 3)"
5,3,"(5, 4, 1, 9, 8, 0, 2, 7, 3)","(13, 10, 16, 12, 18, 12, 3, 8, 15)"
5,4,"(1, 5, 9, 7, 0)","(5, 12, 2, 15, 11)"
5,5,"(9, 4, 5, 1, 8, 2)","(9, 13, 15, 14, 20, 11)"
5,6,"(0, 4, 9, 5)","(9, 4, 18, 17)"
5,7,"(5, 8, 3, 2, 0, 4, 7, 9, 6)","(10, 2, 5, 18, 15, 5, 17, 19, 17)"
5,8,"(1, 9, 0, 5)","(13, 20, 15, 1)"
6,0,"(8, 3, 1)","(14, 12, 20)"
6,1,"(7,)","(3,)"
6,2,"(5, 0, 4, 9, 6, 8, 3, 1, 2, 7)","(13, 12, 2, 8, 18, 14, 19, 17, 10, 10)"
6,3,"(2, 9, 1, 5)","(6, 19, 13, 16)"
6,4,"(7, 5, 9, 3)","(15, 19, 12, 4)"
6,5,"(1,)","(6,)"
6,6,"(2, 1, 7, 6, 3, 9, 5, 0)","(10, 13, 7, 6, 8, 18, 6, 9)"
6,7,"(6,)","(7,)"
6,8,"(3, 1, 8, 6, 7, 2, 0, 4)","(14, 5, 13, 10, 6, 19, 13, 12)"
6,9,"(0, 7, 4, 2, 8, 6, 9)","(9, 11, 8, 8, 13, 8, 3)"
7,0,"(8, 0, 4, 7, 2, 3, 1)","(3, 20, 11, 12, 17, 17, 4)"
7,1,"(6, 3, 4, 7, 8, 5, 1, 9, 2)","(11, 18, 4, 17, 17, 14, 8, 8, 11)"
7,2,"(3, 1, 9, 5, 0, 8, 4)","(9, 13, 4, 17, 8, 10, 9)"
7,3,"(0, 8, 3, 5, 7, 4, 9, 2, 6)","(7, 10, 16, 12, 12, 20, 13, 3, 19)"
7,4,"(8, 4, 2, 3, 6)","(1, 18, 17, 10, 18)"
7,5,"(6, 0, 9, 3, 4, 1, 7, 8, 5)","(14, 19, 16, 9, 5, 17, 9, 9, 7)"
7,6,"(0, 4, 9, 1, 8, 6, 5, 7, 2, 3)","(1, 15, 13, 5, 15, 13, 3, 18, 3, 5)"
7,7,"(1, 2, 7, 5, 9, 8, 0, 4)","(8, 18, 9, 19, 2, 16, 17, 17)"
7,8,"(3,)","(16,)"
