kind,task,machine_selectable,process_time
0,0,"(2, 6, 8)","(10, 16, 20)"
0,1,"(8, 6, 7, 4, 3, 2, 0, 1, 5, 9)","(6, 2, 1, 5, 14, 1, 7, 8, 4, 2)"
0,2,"(7, 4, 8, 6, 0)","(9, 1, 8, 8, 11)"
0,3,"(9, 8, 4, 5, 0, 6, 3, 7)","(19, 16, 16, 2, 16, 1, 19, 19)"
0,4,"(6, 7, 3, 5, 2)","(3, 6, 15, 18, 12)"
0,5,"(8, 0, 5, 2, 3, 6, 7, 4, 1, 9)","(11, 2, 6, 14, 16, 10, 11, 16, 13, 9)"
0,6,"(2, 7, 5, 6)","(2, 16, 2, 6)"
0,7,"(9, 1, 8, 4, 5, 6, 0, 7, 3)","(15, 11, 15, 15, 7, 6, 16, 20, 5)"
0,8,"(0, 5)","(17, 19)"
0,9,"(1, 2, 9, 6, 8, 0, 5, 3)","(9, 11, 19, 1, 3, 10, 2, 3)"
1,0,"(5, 4, 0, 8, 7, 9, 1, 2, 3, 6)","(6, 2, 3, 2, 2, 3, 2, 4, 7, 19)"
1,1,"(7, 1, 5, 0)","(17, 4, 12, 7)"
1,2,"(7, 3, 8, 9, 6, 4)","(16, 17, 3, 10, 4, 13)"
1,3,"(5, 9)","(12, 18)"
1,4,"(7, 0, 4, 6, 5, 8, 1, 2, 9, 3)","(9, 5, 18, 1, 20, 6, 2, 6, 20, 12)"
1,5,"(7, 1)","(5, 20)"
1,6,"(7, 4, 3, 1, 5)","(7, 16, 12, 13, 17)"
1,7,"(9, 6, 5, 4, 3, 7, 8, 1, 2, 0)","(20, 1, 14, 1, 11, 12, 6, 19, 13, 8)"
1,8,"(1, 3, 5)","(15, 12, 17)"
2,0,"(9,)","(1,)"
2,1,"(4, 5, 8, 6, 3, 7, 9, 1)","(14, 3, 11, 15, 14, 6, 2, 15)"
2,2,"(2, 0, 7, 6, 4)","(16, 14, 2, 10, 18)"
2,3,"(9, 4, 5, 7, 1, 2, 3)","(1, 18, 9, 11, 1, 10, 13)"
2,4,"(6, 1, 4, 2, 3)","(7, 2, 5, 8, 8)"
2,5,"(5, 7, 2, 0, 1, 6, 8, 9, 4)","(3, 18, 1, 4, 9, 20, 2, 15, 7)"
2,6,"(9, 5, 2, 8, 4, 7, 6)","(2, 9, 11, 13, 6, 6, 4)"
2,7,"(8, 3, 2, 1, 7, 5, 6, 4, 9, 0)","(7, 12, 20, 7, 9, 16, 11, 13, 11, 1)"
2,8,"(6, 0, 7, 5)","(13, 5, 8, 1)"
2,9,"(9, 6, 4, 0, 1)","(20, 8, 9, 4, 19)"
3,0,"(3, 2, 1, 9)","(14, 1, 7, 8)"
3,1,"(7, 4, 0, 1, 8, 9, 2, 5, 6)","(6, 13, 5, 17, 8, 18, 10, 9, 10)"
3,2,"(6, 8, 3, 2, 5, 0, 4, 7)","(18, 14, 4, 3, 20, 6, 20, 19)"
3,3,"(2, 6, 4, 9, 3, 7, 1, 8, 0, 5)","(13, 11, 13, 3, 18, 2, 2, 7, 8, 1)"
3,4,"(5, 7, 2)","(2, 18, 6)"
4,0,"(8, 4, 9, 2, 1, 3, 0, 6, 5, 7)","(20, 1, 5, 17, 16, 16, 6, 18, 18, 7)"
4,1,"(6, 8, 1, 7, 0, 3, 5, 2)","(4, 2, 3, 18, 11, 12, 7, 4)"
4,2,"(2, 8, 4, 6, 3)","(3, 8, 17, 3, 13)"
4,3,"(0, 8, 4, 6, 2)","(7, 4, 1, 14, 20)"
4,4,"(0, 4, 6, 8, 5, 1, 9, 2, 7, 3)","(10, 13, 14, 9, 17, 2, 20, 15, 12, 20)"
5,0,"(5, 3, 8, 4, 6, 2)","(7, 13, 11, 9, 13, 9)"
5,1,"(5, 7, 9, 2)","(5, 1, 15, 3)"
5,2,"(4, 7, 3, 6)","(1, 15, 13, 19)"
5,3,"(2, 5, 6, 3, 8, 9)","(12, 9, 2, 7, 13, 16)"
5,4,"(0, 1, 6, 4, 2)","(13, 13, 14, 5, 19)"
5,5,"(3, 5, 4)","(6, 1, 2)"
5,6,"(3, 0)","(19, 6)"
5,7,"(6, 9)","(5, 18)"
5,8,"(7, 3, 8, 5)","(19, 20, 8, 16)"
6,0,"(3, 6, 9, 8)","(16, 12, 16, 10)"
6,1,"(6, 5, 2, 3, 0, 9)","(1, 9, 17, 11, 12, 13)"
6,2,"(8, 1, 9, 3, 4, 2, 5, 0)","(2, 10, 14, 8, 5, 6, 19, 7)"
6,3,"(5,)","(20,)"
6,4,"(9, 8)","(19, 15)"
6,5,"(2, 7, 5, 8, 0, 3, 6, 9, 4)","(1, 13, 5, 2, 20, 4, 13, 15, 11)"
6,6,"(8, 6, 2, 9, 4, 0)","(11, 18, 10, 17, 4, 10)"
6,7,"(4, 2, 8, 5)","(1, 1, 7, 18)"
6,8,"(6, 0)","(4, 2)"
7,0,"(7, 4)","(17, 7)"
7,1,"(2, 4, 7, 9, 1, 5, 6, 0)","(9, 14, 1, 16, 1, 2, 5, 10)"
7,2,"(8, 7, 6, 9, 0, 5, 2, 1)","(14, 3, 11, 20, 17, 19, 9, 7)"
7,3,"(8,)","(18,)"
7,4,"(4, 5, 8, 3, 0, 9, 1)","(8, 3, 20, 6, 8, 6, 18)"
7,5,"(3, 0, 4)","(4, 4, 12)"
7,6,"(3, 1)","(13, 7)"
7,7,"(1, 0, 7, 6, 5, 8, 2, 3, 4)","(1, 17, 16, 20, 16, 7, 13, 20, 13)"
7,8,"(5, 7, 4, 2, 3, 9)","(18, 9, 6, 3, 20, 18)"
7,9,"(6, 4, 7, 1, 3)","(17, 9, 9, 4, 18)"
8,0,"(6, 5, 9, 7, 1, 8, 2)","(18, 4, 17, 5, 2, 15, 13)"
8,1,"(4, 9, 1)","(19, 9, 8)"
8,2,"(3, 9, 6, 2, 4, 5, 0, 7)","(13, 9, 17, 2, 13, 8, 7, 8)"
8,3,"(9, 3, 4, 8, 2)","(8, 2, 20, 17, 5)"
8,4,"(3, 2, 4)","(8, 20, 20)"
8,5,"(7,)","(20,)"
8,6,"(5, 7)","(12, 20)"
9,0,"(3, 9, 0)","(11, 6, 19)"
9,1,"(0,)","(11,)"
9,2,"(9, 6, 7, 5, 1, 2, 3, 4, 0)","(6, 9, 20, 17, 10, 19, 14, 1, 11)"
9,3,"(7, 1, 6, 4)","(9, 5, 9, 10)"
9,4,"(0, 4, 6, 8)","(10, 20, 20, 3)"
9,5,"(6, 9, 8, 1, 7, 2)","(6, 5, 17, 20, 5, 9)"
9,6,"(9,)","(1,)"
9,7,"(0, 4, 6, 8, 2, 5, 3, 9, 7)","(8, 19, 14, 10, 10, 15, 10, 9, 17)"
10,0,"(8, 0, 4, 7, 5, 2, 9, 1, 3)","(16, 15, 9, 13, 8, 11, 1, 9, 6)"
10,1,"(7, 4, 9, 5, 6, 2, 3, 1)","(6, 19, 10, 12, 17, 4, 13, 12)"
10,2,"(4, 3, 5, 2, 6, 1, 0)","(4, 16, 3, 13, 17, 12, 9)"
10,3,"(8, 5, 1, 7, 9, 0)","(8, 7, 19, 4, 11, 5)"
10,4,"(5, 1, 7, 3, 0)","(17, 16, 18, 13, 5)"
