kind,task,machine_selectable,process_time
0,0,"(5, 12, 4, 19, 11, 3, 13, 9, 8, 7, 18, 17, 14)","(1, 20, 5, 6, 3, 5, 12, 18, 9, 9, 13, 7, 1)"
0,1,"(15, 0, 13, 16)","(6, 16, 7, 11)"
0,2,"(17, 4, 10, 6)","(18, 15, 20, 18)"
0,3,"(18, 17, 7, 4, 1, 3, 5, 8)","(15, 19, 12, 15, 1, 19, 19, 13)"
0,4,"(18, 7, 1, 17, 0, 5, 16, 4, 9, 15, 12, 14, 8, 13, 6, 19, 3, 11)","(2, 17, 5, 9, 5, 18, 15, 6, 14, 13, 16, 17, 12, 17, 4, 20, 3, 9)"
1,0,"(17, 2, 1, 9, 16, 18, 13, 19, 5, 7, 4, 3, 10, 15, 8, 12)","(18, 13, 9, 1, 11, 13, 9, 10, 6, 12, 12, 11, 5, 19, 13, 7)"
1,1,"(10, 1, 0, 6, 18)","(4, 6, 18, 10, 16)"
1,2,"(16, 5, 11, 10, 19, 14, 13, 1, 4, 9, 3, 6, 7, 18, 2, 17, 12, 8, 0)","(16, 19, 3, 16, 12, 17, 14, 6, 5, 12, 1, 1, 9, 18, 13, 4, 12, 4, 13)"
1,3,"(17, 0, 5, 12, 1, 3, 13, 11, 15)","(11, 4, 11, 8, 8, 4, 5, 3, 6)"
1,4,"(5, 18, 17, 4, 19, 10, 15, 12, 9)","(3, 14, 11, 7, 8, 7, 3, 19, 2)"
1,5,"(15, 7, 16, 3, 0, 19, 2, 18, 8)","(1, 1, 1, 4, 3, 14, 18, 20, 19)"
1,6,"(9, 11, 16, 4, 12, 18, 5, 15, 17, 14, 2, 8, 6, 19, 10, 13, 1, 7, 3, 0)","(4, 6, 19, 17, 4, 13, 2, 12, 2, 4, 6, 11, 7, 18, 1, 7, 11, 11, 13, 11)"
1,7,"(3, 5, 13, 18, 9, 6, 1, 12)","(5, 5, 14, 19, 3, 5, 11, 5)"
2,0,"(4, 11, 1)","(10, 9, 7)"
2,1,"(4, 14, 3)","(10, 1, 3)"
2,2,"(17,)","(5,)"
2,3,"(9, 7, 13, 12, 19, 15, 18)","(13, 2, 14, 13, 6, 12, 7)"
2,4,"(10, 13, 8, 6)","(12, 1, 6, 18)"
3,0,"(9, 6, 14, 3, 18, 11, 16, 13, 7, 5, 4, 19, 15, 0, 2, 1, 10, 8, 17, 12)","(1, 12, 19, 1, 2, 14, 1, 14, 14, 4, 19, 12, 18, 1, 10, 16, 18, 6, 10, 1)"
3,1,"(18, 8, 1, 0, 5, 17, 2, 14, 16, 7, 6, 10, 11, 13, 15, 3, 12, 9, 4)","(6, 10, 11, 9, 9, 18, 4, 8, 13, 7, 15, 13, 15, 3, 10, 4, 16, 11, 3)"
3,2,"(15,)","(18,)"
3,3,"(14, 10, 8, 18)","(5, 2, 5, 18)"
3,4,"(11, 5, 15, 19, 6, 3, 17, 0, 8)","(2, 5, 3, 1, 20, 12, 13, 16, 3)"
3,5,"(3, 6, 8, 17, 19, 18, 12, 5, 14)","(6, 11, 2, 16, 7, 17, 12, 18, 20)"
3,6,"(5, 12, 3, 6, 7)","(11, 9, 5, 7, 12)"
4,0,"(16, 12, 0, 3, 11, 10, 6, 1, 19, 5, 2, 17)","(16, 18, 2, 11, 16, 20, 5, 16, 10, 14, 8, 16)"
4,1,"(6, 12, 14)","(2, 9, 7)"
4,2,"(11, 14, 0, 4, 13, 1, 7, 6, 16, 10, 8)","(18, 7, 12, 9, 11, 12, 16, 17, 4, 2, 15)"
4,3,"(17, 7, 3, 11, 2, 6, 14)","(11, 8, 6, 8, 14, 19, 2)"
4,4,"(4, 11, 6, 14, 7, 9, 8, 3, 16, 0, 2, 19)","(13, 9, 6, 18, 9, 6, 7, 14, 5, 10, 16, 14)"
4,5,"(17, 16, 9, 2, 15, 7, 19, 4, 13, 6, 18, 11, 1, 8)","(7, 4, 2, 4, 10, 17, 10, 1, 8, 18, 10, 3, 6, 19)"
5,0,"(5, 0, 12, 18)","(7, 18, 8, 16)"
5,1,"(6, 13, 19, 10, 14, 12, 15, 7, 0, 17, 18)","(15, 9, 2, 12, 11, 20, 9, 11, 10, 19, 9)"
5,2,"(16, 9, 2, 15, 1, 7, 11)","(4, 3, 6, 3, 10, 14, 4)"
