order,time_arrive,time_delivery,kind_number
0,0,85,"(8, 8, 8, 8, 6, 8, 9, 6, 6, 7, 8, 6)"
1,179,263,"(7, 6, 8, 6, 6, 7, 8, 7, 9, 10, 6, 6)"
2,331,423,"(8, 8, 5, 10, 9, 9, 8, 7, 6, 6, 10, 9)"
3,503,591,"(6, 7, 7, 10, 6, 10, 5, 8, 5, 8, 9, 7)"
4,610,699,"(9, 5, 10, 8, 5, 9, 8, 6, 6, 7, 9, 9)"
5,767,848,"(8, 8, 6, 5, 5, 6, 10, 8, 10, 5, 5, 9)"
6,904,990,"(8, 7, 6, 7, 7, 6, 7, 8, 9, 8, 9, 7)"
7,1016,1111,"(10, 9, 9, 10, 8, 5, 5, 8, 10, 9, 5, 9)"
8,1128,1213,"(5, 6, 7, 7, 9, 5, 9, 10, 5, 10, 8, 7)"
9,1316,1404,"(9, 5, 9, 6, 10, 9, 5, 6, 10, 5, 6, 9)"
10,1516,1616,"(10, 7, 7, 10, 10, 8, 6, 7, 8, 10, 8, 10)"
11,1644,1731,"(9, 5, 8, 5, 10, 7, 8, 9, 9, 8, 7, 5)"
12,1788,1864,"(8, 7, 5, 7, 6, 5, 6, 7, 6, 7, 7, 8)"
13,1910,1998,"(6, 10, 7, 6, 5, 10, 9, 8, 7, 9, 6, 7)"
14,2081,2170,"(8, 7, 8, 8, 5, 6, 10, 8, 9, 7, 6, 10)"
