kind,task,machine_selectable,process_time
0,0,"(1, 10, 12, 5, 0, 9)","(13, 7, 9, 1, 10, 13)"
0,1,"(4, 8, 3)","(2, 7, 16)"
0,2,"(2, 12)","(7, 20)"
0,3,"(5, 8, 3, 13, 11, 7)","(17, 15, 5, 14, 17, 13)"
0,4,"(8, 6, 12, 10, 9, 4, 14, 13)","(9, 3, 14, 7, 1, 18, 1, 9)"
0,5,"(5,)","(5,)"
0,6,"(6, 10, 3, 11, 2, 1, 13, 7, 12, 14, 5, 0)","(9, 6, 14, 17, 19, 8, 2, 1, 18, 17, 3, 3)"
0,7,"(9, 5, 3, 14)","(10, 12, 7, 9)"
0,8,"(0, 10, 5)","(20, 2, 17)"
1,0,"(1, 7, 13, 14)","(5, 9, 20, 8)"
1,1,"(12,)","(18,)"
1,2,"(2,)","(12,)"
1,3,"(11, 3, 4, 14, 13, 1, 9)","(19, 15, 7, 12, 15, 13, 16)"
1,4,"(7, 0, 6, 14, 3, 12, 2, 9)","(20, 2, 7, 18, 7, 8, 12, 1)"
1,5,"(11,)","(19,)"
1,6,"(8, 10)","(17, 14)"
1,7,"(8, 10, 6, 12, 13, 5, 0)","(10, 12, 7, 7, 18, 8, 4)"
1,8,"(6, 10, 11, 0, 9, 8, 4, 1, 7, 5, 2, 13, 12)","(15, 8, 13, 6, 14, 15, 12, 8, 10, 1, 8, 11, 7)"
2,0,"(3, 11, 7, 8, 13, 10, 2, 12, 1, 5, 9, 14)","(1, 16, 16, 16, 19, 6, 19, 11, 19, 16, 20, 13)"
2,1,"(13, 11, 2, 4, 6, 9)","(9, 17, 6, 18, 2, 15)"
2,2,"(10, 7, 5, 9, 8, 14, 4, 3, 12, 2, 0, 6)","(9, 11, 20, 1, 4, 9, 14, 4, 13, 1, 4, 11)"
2,3,"(4, 7, 10, 3, 1, 9, 14, 5, 6, 13, 2, 0, 11, 12)","(8, 19, 9, 1, 11, 11, 4, 5, 13, 15, 12, 12, 14, 12)"
2,4,"(6, 8, 13, 5)","(13, 5, 14, 19)"
2,5,"(13, 14, 3, 8, 1, 9, 7, 12, 0, 5, 6, 11, 2, 4, 10)","(4, 6, 9, 12, 9, 3, 10, 8, 7, 5, 19, 7, 16, 15, 16)"
2,6,"(13, 14, 0, 12, 1, 2, 8, 6, 4)","(18, 4, 19, 2, 16, 11, 18, 15, 1)"
2,7,"(1, 14)","(11, 12)"
3,0,"(14, 11, 6, 1, 0, 5, 2, 4, 9, 7, 3, 8)","(15, 19, 12, 14, 4, 14, 14, 10, 20, 1, 11, 13)"
3,1,"(1, 3, 0)","(9, 12, 7)"
3,2,"(12, 10, 1, 11, 13, 7, 5, 3, 6, 14, 2, 0)","(13, 14, 6, 15, 7, 6, 10, 3, 16, 17, 20, 18)"
3,3,"(4, 0, 3, 1, 14, 6, 9, 11, 2, 5, 7, 8)","(12, 11, 12, 2, 3, 10, 3, 15, 3, 11, 9, 6)"
3,4,"(8, 14, 3, 11, 0)","(6, 11, 10, 13, 14)"
3,5,"(3, 10, 4, 7, 6, 5, 2)","(8, 6, 5, 12, 8, 19, 6)"
3,6,"(11, 5, 12)","(11, 15, 19)"
3,7,"(9, 12, 13, 11, 1, 2, 0, 7, 10, 3, 6, 4, 14)","(16, 8, 15, 12, 3, 8, 17, 19, 2, 3, 16, 13, 8)"
3,8,"(2,)","(18,)"
3,9,"(10, 6, 2, 13, 9, 3, 12, 5)","(7, 8, 15, 12, 5, 10, 3, 9)"
4,0,"(9,)","(6,)"
4,1,"(2, 11, 13, 5, 0, 8, 14, 12, 10, 9, 1, 7, 3, 4, 6)","(12, 11, 8, 12, 15, 1, 8, 7, 12, 15, 1, 19, 10, 3, 9)"
4,2,"(14, 8, 9, 5, 12, 6, 4, 13, 3, 2, 10, 0, 7)","(8, 14, 16, 17, 4, 12, 14, 19, 2, 10, 8, 7, 10)"
4,3,"(0, 4, 5, 1, 6, 12, 10, 8, 2)","(17, 13, 7, 11, 11, 9, 12, 18, 9)"
4,4,"(6, 1, 7, 9, 5, 10, 4, 3, 12, 13, 8, 2, 11, 0)","(3, 3, 19, 6, 2, 8, 15, 14, 20, 5, 5, 6, 2, 16)"
5,0,"(12, 5)","(16, 17)"
5,1,"(10, 4, 3, 6, 9, 12, 7, 14, 11, 13, 0, 8, 1, 2, 5)","(19, 11, 3, 19, 10, 7, 2, 7, 8, 1, 15, 15, 17, 11, 19)"
5,2,"(9,)","(17,)"
5,3,"(1, 5, 7)","(12, 3, 18)"
5,4,"(2,)","(3,)"
5,5,"(10, 0, 8, 9)","(20, 17, 4, 5)"
6,0,"(8, 14, 0, 13, 3)","(2, 1, 16, 14, 13)"
6,1,"(5, 12, 4, 0, 14, 10, 6, 9, 7)","(14, 12, 2, 20, 9, 20, 6, 1, 2)"
6,2,"(11,)","(10,)"
6,3,"(2, 1, 11, 10, 14, 3)","(11, 8, 17, 10, 14, 14)"
6,4,"(2, 3, 0, 10, 9, 1, 4, 6, 11, 13, 5, 14)","(13, 10, 4, 8, 4, 19, 20, 12, 20, 11, 1, 8)"
6,5,"(13, 5, 14, 9, 4, 10, 1, 12, 3, 6, 7, 2, 8, 0, 11)","(1, 2, 17, 17, 19, 17, 6, 2, 14, 10, 15, 6, 7, 8, 16)"
6,6,"(11, 4, 5, 10, 3, 1, 7, 12, 14, 8, 9, 2, 13)","(20, 17, 10, 17, 9, 1, 16, 2, 9, 17, 17, 6, 11)"
7,0,"(4, 11, 14, 12, 1, 8)","(17, 16, 13, 13, 2, 4)"
7,1,"(2, 9, 6, 8, 13, 7, 11, 3)","(7, 11, 2, 10, 2, 6, 16, 4)"
7,2,"(3,)","(10,)"
7,3,"(7,)","(17,)"
7,4,"(5, 10, 4, 9, 12, 2, 6, 0, 14, 7, 1)","(3, 1, 4, 18, 1, 14, 11, 13, 9, 5, 12)"
7,5,"(7, 6, 5, 14, 9, 13)","(8, 16, 11, 17, 6, 7)"
7,6,"(13, 11, 0, 8, 1, 14, 4, 3, 7)","(1, 20, 19, 6, 3, 13, 3, 1, 1)"
8,0,"(1, 5, 7, 8, 11, 14, 0, 9, 13, 4, 6, 10, 3, 12)","(10, 9, 19, 20, 19, 12, 13, 20, 3, 17, 16, 15, 17, 7)"
8,1,"(6, 11, 4, 12, 2, 5, 7, 14)","(9, 12, 16, 4, 2, 20, 12, 10)"
8,2,"(8, 6, 3, 12, 9, 5, 1, 13)","(17, 14, 14, 6, 13, 11, 12, 10)"
8,3,"(13, 3)","(12, 15)"
8,4,"(8, 0)","(5, 3)"
8,5,"(10, 2, 8, 13)","(4, 1, 10, 12)"
8,6,"(4, 13)","(8, 13)"
8,7,"(14, 0, 10, 9, 6, 3, 13, 8, 11, 5, 2, 7, 1, 12, 4)","(17, 20, 5, 15, 5, 4, 14, 3, 15, 13, 11, 8, 11, 12, 16)"
9,0,"(14, 6, 10)","(17, 8, 10)"
9,1,"(3, 4, 14, 8, 7, 11, 1, 10, 9, 6, 12, 13, 5, 0)","(2, 14, 4, 17, 2, 7, 10, 15, 6, 5, 3, 13, 12, 15)"
9,2,"(2, 0, 10, 5, 7, 14, 13, 3, 12, 8)","(12, 14, 12, 1, 20, 7, 11, 14, 19, 8)"
9,3,"(12, 14, 5, 6, 3, 8, 9, 11, 0, 2, 13, 4)","(16, 4, 20, 18, 7, 2, 8, 3, 3, 1, 6, 13)"
9,4,"(6, 12, 13, 4, 8)","(18, 8, 16, 14, 18)"
9,5,"(5, 3, 11, 2, 9, 10, 7)","(12, 10, 1, 17, 1, 14, 14)"
9,6,"(6, 14, 10, 5, 4, 13, 12, 1, 7)","(4, 4, 15, 12, 14, 6, 20, 16, 18)"
9,7,"(4, 1, 12, 2)","(4, 17, 10, 12)"
