order,time_arrive,time_delivery,kind_number
0,0,210,"(10, 6, 7, 6, 8, 7, 9)"
1,105,348,"(10, 10, 9, 10, 6, 8, 10)"
2,304,505,"(8, 5, 5, 8, 8, 7, 10)"
3,470,692,"(9, 6, 9, 6, 10, 8, 7)"
4,601,819,"(10, 6, 6, 9, 10, 8, 6)"
5,745,954,"(8, 6, 6, 8, 7, 9, 10)"
6,938,1125,"(7, 7, 7, 5, 8, 8, 5)"
7,1127,1355,"(10, 5, 10, 8, 7, 10, 8)"
8,1316,1540,"(10, 7, 10, 5, 9, 10, 5)"
9,1418,1630,"(10, 5, 6, 9, 7, 10, 8)"
10,1560,1766,"(9, 9, 7, 5, 6, 7, 10)"
11,1746,1932,"(7, 5, 5, 8, 8, 6, 8)"
12,1863,2077,"(9, 9, 6, 8, 6, 10, 8)"
13,1978,2146,"(6, 6, 5, 7, 8, 5, 5)"
14,2083,2305,"(10, 8, 7, 6, 8, 10, 8)"
