kind,task,machine_selectable,process_time
0,0,"(6, 5, 14, 7, 4, 3)","(15, 8, 1, 17, 4, 3)"
0,1,"(9,)","(1,)"
0,2,"(13, 0, 17, 9, 6, 10, 8, 15, 16, 12)","(20, 6, 18, 1, 9, 7, 9, 18, 18, 20)"
0,3,"(13, 7, 6, 1, 10, 4, 8, 14, 17, 9, 19, 12, 16, 0, 3, 2, 11, 18, 5, 15)","(16, 19, 7, 2, 6, 18, 10, 14, 17, 17, 20, 4, 2, 13, 20, 10, 11, 3, 16, 13)"
0,4,"(9, 17, 10, 0, 14, 5, 11, 3, 15, 18, 1, 7, 12, 16, 19, 4, 13, 6)","(15, 15, 7, 11, 8, 15, 20, 20, 13, 3, 12, 7, 7, 14, 3, 3, 3, 5)"
0,5,"(2, 12, 6, 18, 3, 14, 15, 9, 19, 8, 5, 13, 1, 10, 7, 4, 16)","(4, 2, 13, 20, 6, 18, 18, 3, 5, 3, 7, 20, 10, 14, 16, 19, 12)"
1,0,"(7, 4, 3, 1, 18, 8, 11)","(20, 2, 14, 17, 7, 19, 3)"
1,1,"(11, 1, 16, 9, 8)","(16, 2, 10, 3, 17)"
1,2,"(15, 17, 5, 16, 9, 1, 11, 7, 4, 2, 3, 10, 18, 0, 19)","(5, 8, 9, 19, 15, 12, 1, 17, 6, 11, 11, 1, 20, 19, 18)"
1,3,"(3, 7, 18, 9, 1, 5, 19, 12)","(1, 4, 15, 12, 15, 14, 4, 17)"
1,4,"(2, 10, 15, 18, 0, 14, 16, 6, 1, 11, 8, 17, 13, 9, 12, 3, 5, 4, 19, 7)","(2, 9, 14, 6, 7, 20, 5, 5, 11, 20, 10, 11, 18, 4, 4, 20, 10, 7, 16, 14)"
1,5,"(12, 5, 18, 6, 1, 0, 9, 14, 17, 7, 13, 16, 4, 2, 8, 3, 10, 15, 11)","(16, 16, 17, 17, 8, 13, 9, 20, 12, 12, 17, 11, 12, 17, 13, 5, 18, 17, 15)"
2,0,"(1, 14, 2, 16)","(3, 18, 19, 1)"
2,1,"(3, 11, 13, 2, 0, 5, 17, 14, 4, 9)","(10, 10, 18, 14, 20, 14, 4, 9, 11, 18)"
2,2,"(19, 14, 17, 1, 9, 5, 4, 3, 6, 7, 8, 13)","(9, 8, 12, 18, 12, 6, 19, 4, 3, 10, 18, 11)"
2,3,"(10, 3, 2, 16, 13, 18, 9, 1, 17, 12, 8, 11, 19)","(11, 15, 19, 9, 12, 7, 1, 3, 2, 16, 9, 19, 20)"
2,4,"(9, 15, 14, 8, 16, 5, 17, 7, 4, 1, 19, 2, 3, 11)","(5, 14, 1, 19, 8, 12, 16, 19, 7, 18, 2, 20, 10, 15)"
2,5,"(16, 14, 5, 0, 17, 15, 9, 7, 19, 12, 13, 1)","(5, 5, 19, 13, 6, 8, 14, 14, 13, 18, 1, 10)"
