order,time_arrive,time_delivery,kind_number
0,0,91,"(6, 7, 7, 10, 5)"
1,181,275,"(10, 9, 8, 5, 6)"
2,287,398,"(5, 9, 10, 10, 10)"
3,430,524,"(7, 6, 8, 10, 5)"
4,590,680,"(6, 8, 6, 10, 5)"
5,698,819,"(9, 10, 10, 10, 9)"
6,822,919,"(7, 5, 6, 10, 10)"
7,958,1071,"(9, 9, 10, 10, 6)"
8,1065,1147,"(5, 7, 6, 7, 8)"
9,1168,1277,"(9, 10, 8, 7, 10)"
10,1308,1399,"(7, 8, 10, 6, 5)"
11,1501,1603,"(6, 10, 6, 10, 9)"
12,1654,1736,"(6, 5, 5, 9, 7)"
13,1850,1954,"(10, 9, 7, 7, 9)"
14,2041,2136,"(9, 5, 7, 8, 8)"
