kind,task,machine_selectable,process_time
0,0,"(7, 11, 5, 4, 3, 10, 9, 6, 8, 18, 2, 13, 14, 19, 17, 1, 0)","(8, 3, 4, 17, 19, 12, 17, 15, 8, 2, 6, 15, 8, 11, 9, 7, 14)"
0,1,"(17, 0, 15, 12, 9, 5, 7)","(7, 11, 20, 1, 15, 4, 9)"
0,2,"(9, 13, 5, 8, 2, 6, 19)","(10, 11, 17, 13, 8, 1, 15)"
0,3,"(3, 13, 18, 8, 11, 15, 10, 5, 12, 7, 0, 14, 19, 2, 16, 4)","(9, 19, 9, 3, 7, 13, 13, 4, 12, 12, 3, 18, 7, 17, 15, 9)"
0,4,"(15, 1, 11, 6, 18, 14, 19, 10, 12, 4, 9)","(11, 10, 17, 10, 1, 5, 20, 6, 17, 1, 1)"
1,0,"(3, 15, 11, 18)","(9, 11, 9, 7)"
1,1,"(18, 17, 1, 4, 12, 0, 13, 14, 7, 5, 6, 2, 16, 3, 9, 19, 15)","(17, 1, 17, 12, 16, 16, 17, 4, 11, 1, 2, 9, 9, 5, 1, 15, 9)"
1,2,"(4, 13, 2, 11, 17, 6, 0, 5)","(8, 12, 11, 12, 5, 8, 18, 16)"
1,3,"(7, 10, 18, 17, 14, 0, 8, 9, 12, 19, 4, 1, 13, 11)","(16, 15, 11, 18, 1, 19, 20, 18, 16, 16, 5, 11, 6, 19)"
1,4,"(5, 18, 16, 17, 7, 13, 9, 0, 14, 8, 4, 19, 6, 10, 12, 3, 1, 2, 11, 15)","(6, 4, 14, 15, 20, 2, 13, 12, 15, 11, 3, 18, 12, 11, 5, 20, 20, 6, 9, 16)"
1,5,"(8, 1, 12, 9, 10, 7, 15, 13, 5, 3, 16, 6, 11, 14, 17)","(10, 7, 5, 17, 3, 6, 4, 17, 9, 15, 12, 5, 15, 8, 15)"
1,6,"(14, 19, 13, 4, 9, 10, 2, 7, 1, 6, 16, 8, 0, 11, 17, 5, 12, 3, 15, 18)","(9, 16, 17, 19, 16, 14, 8, 2, 10, 15, 10, 12, 16, 10, 18, 4, 15, 2, 10, 5)"
1,7,"(15, 1, 5, 16, 3, 6)","(9, 4, 12, 12, 15, 19)"
1,8,"(1, 12, 10, 15, 14, 13, 16, 9, 11, 4, 6, 3, 18, 19, 5, 0, 17)","(12, 4, 8, 18, 13, 9, 2, 18, 15, 13, 14, 11, 16, 12, 2, 2, 7)"
2,0,"(3, 10, 4, 15, 18, 17, 1)","(14, 4, 6, 7, 15, 4, 18)"
2,1,"(3, 19, 2, 4, 10, 11, 15, 0, 12, 8)","(2, 14, 4, 4, 13, 9, 20, 3, 14, 8)"
2,2,"(8, 17, 0, 3, 12, 2)","(5, 20, 13, 8, 5, 3)"
2,3,"(7, 3, 18, 15, 19, 9, 0, 8, 11, 12, 10)","(8, 8, 2, 6, 11, 17, 3, 6, 8, 2, 4)"
2,4,"(1, 4, 10, 18, 16)","(4, 5, 19, 12, 4)"
2,5,"(11, 3, 8, 4, 19, 14, 13, 5, 10, 16, 1, 7, 2, 12, 6, 15, 17, 0, 9)","(15, 6, 1, 4, 5, 11, 2, 3, 11, 8, 17, 9, 5, 19, 14, 12, 2, 8, 13)"
2,6,"(12, 18, 10, 14, 8, 16, 13, 17, 11, 7, 0)","(12, 7, 1, 14, 12, 5, 1, 3, 8, 20, 4)"
2,7,"(18, 16, 13, 9, 1, 7, 0, 12, 3, 4, 15, 10, 11, 6)","(9, 20, 6, 12, 18, 20, 8, 16, 11, 4, 11, 12, 3, 2)"
2,8,"(4, 19, 8, 5, 13, 12, 0, 17, 6, 2, 15)","(2, 2, 13, 12, 1, 4, 6, 2, 18, 20, 7)"
2,9,"(15, 2, 16, 19, 9, 13, 12, 7, 10, 6, 1, 11, 14, 18, 3, 5, 4, 17, 8, 0)","(20, 13, 7, 14, 1, 3, 3, 8, 2, 19, 4, 12, 19, 1, 4, 1, 20, 14, 5, 12)"
3,0,"(12, 18, 1, 19, 7, 9, 17, 15, 5, 6, 2, 14, 0, 16, 11)","(17, 18, 11, 10, 12, 1, 16, 18, 7, 5, 7, 8, 1, 9, 16)"
3,1,"(13, 17, 16, 14, 15, 11, 10, 6, 5, 3, 0, 4, 2, 1, 8, 9, 19, 18, 7, 12)","(8, 15, 2, 1, 17, 3, 5, 4, 3, 3, 7, 18, 6, 1, 5, 10, 18, 4, 15, 6)"
3,2,"(18, 7, 17, 14, 12, 13, 11, 16, 3, 4, 0, 6, 1, 8, 19)","(6, 13, 2, 19, 18, 20, 5, 4, 12, 19, 5, 2, 14, 13, 16)"
3,3,"(10, 19, 2, 3, 7, 18, 12, 17, 15, 8, 6, 13, 16, 11, 0, 5, 1)","(13, 2, 6, 19, 10, 16, 16, 17, 12, 15, 14, 4, 4, 12, 8, 20, 14)"
3,4,"(10, 4, 1, 17, 16, 6, 7, 8, 12, 13, 9)","(17, 1, 5, 7, 7, 4, 16, 7, 12, 2, 19)"
3,5,"(12,)","(14,)"
3,6,"(14, 4, 10, 18, 11, 17, 0, 3, 9, 13, 7, 5, 15)","(16, 17, 11, 11, 6, 6, 17, 3, 8, 4, 6, 9, 8)"
4,0,"(7, 16, 5, 11, 0, 13, 17, 12, 10, 9, 4, 19, 18, 6, 1, 3)","(16, 5, 18, 15, 16, 17, 18, 17, 13, 2, 19, 12, 8, 11, 10, 19)"
4,1,"(11, 7, 18, 12, 16)","(11, 6, 19, 11, 1)"
4,2,"(2, 1, 12)","(7, 8, 8)"
4,3,"(13, 12, 9, 3, 8, 10, 18, 7, 2, 0, 17, 1, 6, 11, 15, 5, 4, 16, 14)","(12, 13, 4, 6, 7, 5, 2, 1, 10, 4, 20, 10, 13, 9, 19, 6, 11, 16, 13)"
4,4,"(18, 5, 10, 14, 1, 8, 9, 12, 3, 7, 15, 4, 2, 13, 11, 0, 16)","(16, 4, 17, 5, 17, 20, 17, 10, 11, 7, 14, 10, 14, 8, 5, 19, 12)"
4,5,"(9, 15, 10)","(3, 7, 15)"
4,6,"(18, 5, 10, 17, 1, 2)","(17, 18, 7, 1, 7, 8)"
4,7,"(0, 9, 6, 8, 16, 12, 11, 19, 7, 15, 13, 1, 2, 18, 10, 14)","(11, 10, 15, 5, 5, 17, 7, 19, 7, 17, 4, 18, 15, 1, 1, 11)"
5,0,"(16, 14, 10, 1, 5, 11, 6, 7)","(5, 6, 13, 6, 10, 17, 6, 7)"
5,1,"(0, 17, 10, 16, 19, 11, 7, 1, 18, 2, 5, 13)","(12, 7, 10, 7, 10, 18, 7, 11, 19, 9, 7, 11)"
5,2,"(4, 17, 7, 2, 6, 18)","(1, 16, 2, 5, 3, 14)"
5,3,"(4, 0, 9, 8, 11, 10, 5, 1, 12, 6, 16, 7, 19, 13)","(10, 4, 6, 10, 10, 15, 18, 17, 15, 2, 14, 18, 15, 15)"
5,4,"(4, 13, 16, 0, 18)","(1, 9, 16, 1, 18)"
5,5,"(4, 13, 19, 0, 11, 6, 14, 8, 12, 16, 5, 9, 1, 3, 17, 18, 2, 15, 7)","(18, 8, 15, 14, 12, 16, 2, 17, 10, 17, 16, 3, 3, 18, 19, 18, 3, 20, 18)"
5,6,"(5, 4, 6, 12, 1, 0, 16, 9, 19, 14, 17, 15, 11, 18, 3, 7, 2, 8)","(20, 15, 2, 3, 2, 7, 13, 11, 13, 2, 5, 2, 14, 13, 10, 8, 18, 16)"
5,7,"(7, 6, 19, 12, 18)","(18, 4, 8, 20, 15)"
5,8,"(0, 13, 1, 8, 18, 10, 11, 16, 9, 3, 17, 19, 5, 14, 15, 6, 2)","(12, 13, 6, 11, 6, 12, 3, 18, 9, 15, 16, 6, 15, 18, 1, 4, 5)"
6,0,"(16, 1, 9, 14, 18)","(18, 13, 9, 1, 11)"
6,1,"(5, 10, 9)","(10, 14, 1)"
6,2,"(12, 8, 6, 10, 9, 15, 11, 16, 14)","(11, 6, 18, 6, 7, 18, 13, 19, 8)"
6,3,"(4, 19, 8, 12)","(8, 4, 15, 9)"
6,4,"(11, 2, 9, 14, 6, 19, 13, 16, 10, 5, 18, 0, 4, 12, 7, 15, 17)","(16, 16, 13, 16, 10, 6, 14, 15, 4, 10, 5, 5, 5, 8, 17, 15, 20)"
7,0,"(4, 1, 8, 5, 17, 19, 3, 7, 2, 12, 10, 18, 9, 14, 16, 0, 13)","(14, 17, 15, 15, 6, 15, 13, 8, 13, 1, 14, 1, 4, 16, 7, 14, 11)"
7,1,"(15, 18, 12, 7, 5, 6, 14, 17)","(10, 16, 1, 19, 6, 14, 1, 5)"
7,2,"(13, 0, 7, 2, 16, 15, 10, 19, 5, 1, 12, 3, 9, 18, 14, 6, 17, 11)","(12, 10, 20, 5, 12, 13, 13, 8, 14, 8, 18, 13, 5, 12, 10, 14, 20, 2)"
7,3,"(11, 9, 8, 5, 2, 6, 18, 12, 10, 15, 0, 13)","(15, 2, 1, 9, 18, 4, 20, 13, 16, 8, 3, 13)"
7,4,"(17, 5, 14)","(17, 15, 14)"
7,5,"(0, 16)","(16, 9)"
7,6,"(5, 12, 3, 16, 4, 0)","(5, 3, 9, 10, 17, 1)"
7,7,"(1, 11, 8, 16, 6)","(19, 14, 5, 11, 7)"
7,8,"(15, 1, 4, 17, 16, 10, 13, 7, 19, 8, 18, 11, 9, 3, 12, 6, 14, 2)","(16, 15, 10, 1, 1, 13, 19, 1, 17, 3, 2, 13, 11, 12, 4, 15, 17, 4)"
7,9,"(14, 13, 0, 1, 6, 19, 8, 2)","(14, 12, 1, 3, 2, 16, 1, 17)"
8,0,"(9, 14, 7, 6, 0, 8, 11, 16, 17, 19, 13, 12)","(3, 3, 6, 20, 8, 16, 16, 13, 2, 1, 17, 15)"
8,1,"(17, 6, 1, 19, 13)","(7, 1, 16, 3, 14)"
8,2,"(16, 5, 18, 2, 3, 13, 9, 12, 0, 4, 10, 6, 19, 14)","(19, 3, 12, 14, 4, 9, 18, 16, 6, 5, 2, 20, 18, 11)"
8,3,"(17, 10)","(4, 9)"
8,4,"(18, 3, 19, 12, 14, 10, 2, 0, 6)","(8, 6, 14, 20, 20, 11, 17, 12, 10)"
8,5,"(11, 5, 15, 12, 3, 10, 9, 8, 2, 17, 0, 16, 6, 4, 7, 19, 18, 13, 1, 14)","(8, 18, 11, 14, 2, 11, 1, 7, 3, 5, 19, 5, 5, 10, 12, 9, 12, 6, 7, 5)"
8,6,"(14, 1, 19, 8, 4, 0, 13, 3, 12, 2, 5, 15, 6)","(2, 4, 20, 3, 7, 14, 9, 3, 1, 17, 19, 4, 8)"
8,7,"(6, 19, 15, 7, 16, 0, 5, 9, 13, 2, 3, 17, 11)","(5, 13, 3, 19, 14, 4, 10, 4, 11, 16, 10, 7, 17)"
9,0,"(0, 7, 2, 16, 19, 12, 8, 10, 4, 9, 14, 18, 13, 5)","(14, 3, 14, 15, 1, 12, 3, 14, 17, 8, 3, 13, 16, 15)"
9,1,"(0, 17, 13, 7, 1)","(18, 4, 13, 16, 13)"
9,2,"(0,)","(18,)"
9,3,"(4, 5, 18, 16, 2, 7, 8, 10, 1, 9, 12, 11, 3, 14, 17, 0, 19)","(20, 11, 15, 3, 10, 5, 13, 19, 7, 14, 20, 3, 19, 19, 18, 18, 12)"
9,4,"(11, 5, 15, 7, 10, 8, 6, 17, 1, 18, 14)","(20, 18, 13, 16, 6, 15, 4, 17, 15, 14, 9)"
9,5,"(9, 6, 15, 2, 4, 1, 16, 7, 17)","(15, 3, 11, 16, 1, 7, 13, 15, 18)"
