kind,task,machine_selectable,process_time
0,0,"(13, 9, 16, 11, 0, 15, 1, 18, 2, 12, 4, 10, 3, 7, 6, 14, 5, 17, 19, 8)","(20, 8, 18, 20, 17, 12, 13, 2, 4, 17, 8, 2, 15, 15, 18, 10, 14, 12, 20, 3)"
0,1,"(4, 9, 2, 8)","(20, 5, 7, 3)"
0,2,"(6, 15, 8, 13, 17, 14, 5, 10, 12)","(1, 20, 17, 11, 7, 5, 3, 2, 1)"
0,3,"(16, 13, 8, 15, 4, 5, 1, 19, 6, 18, 7, 12, 0, 3, 2, 14, 17, 9)","(11, 17, 18, 1, 12, 12, 8, 11, 18, 11, 6, 15, 2, 16, 19, 10, 19, 10)"
0,4,"(14, 11, 5, 19, 10, 0, 13, 6, 18, 2, 16)","(3, 5, 9, 4, 18, 15, 15, 9, 6, 18, 13)"
0,5,"(5, 6)","(14, 7)"
1,0,"(17, 5, 7, 16, 3, 11, 8, 9, 15, 19, 18, 13, 10, 1, 12)","(8, 15, 7, 4, 13, 20, 13, 5, 12, 8, 12, 1, 15, 10, 15)"
1,1,"(1, 2, 12, 6, 0, 8, 17, 19, 10, 13, 15, 9, 11, 4, 16, 7, 5, 18, 3)","(1, 10, 7, 6, 6, 14, 17, 4, 2, 7, 3, 14, 7, 10, 14, 11, 16, 12, 8)"
1,2,"(9, 5, 15, 18, 12, 19, 17)","(9, 5, 4, 16, 9, 11, 16)"
1,3,"(1, 2, 0, 3, 11, 13, 9, 17, 16, 8)","(14, 14, 11, 16, 19, 6, 20, 15, 18, 14)"
1,4,"(11, 2, 3, 1, 8, 12, 10, 4, 19, 15, 14, 5, 18, 7)","(5, 13, 9, 14, 11, 5, 18, 15, 14, 10, 12, 7, 13, 17)"
1,5,"(19, 4, 3, 15, 16, 8, 0, 11, 10, 1, 18, 17, 5, 6, 14, 9)","(7, 5, 14, 2, 2, 5, 18, 7, 20, 19, 19, 2, 16, 9, 14, 16)"
1,6,"(18, 3, 14, 2, 10, 9, 1, 4, 12, 17, 16, 11, 15, 13, 19, 0, 5)","(17, 4, 7, 12, 16, 14, 18, 9, 8, 12, 1, 2, 2, 15, 15, 16, 19)"
2,0,"(1, 14, 0, 8, 6, 2, 5, 4, 16, 17, 18, 3, 19, 11, 10, 12, 9, 13)","(9, 6, 4, 10, 4, 1, 9, 4, 8, 20, 14, 14, 13, 1, 12, 3, 2, 3)"
2,1,"(16, 14, 6, 0, 18, 10, 17, 12, 1, 9, 19, 11, 8, 4)","(2, 11, 4, 16, 11, 8, 12, 15, 17, 13, 13, 13, 1, 12)"
2,2,"(4, 9, 8, 16, 5, 19, 12, 3, 1, 2, 0, 6, 11, 13, 14)","(4, 8, 11, 20, 8, 3, 6, 5, 3, 14, 10, 7, 3, 1, 8)"
2,3,"(2, 18, 13, 4, 0, 6, 15)","(2, 14, 16, 9, 1, 3, 6)"
2,4,"(4, 6, 3, 10, 0, 5, 1, 9, 18, 11)","(20, 8, 13, 3, 15, 1, 9, 18, 8, 13)"
2,5,"(9, 1, 2, 8, 19, 11, 0, 13, 17, 18, 5, 7, 15, 6, 3, 16, 12, 4, 10, 14)","(14, 7, 3, 8, 5, 12, 4, 8, 17, 6, 6, 2, 4, 7, 6, 15, 16, 16, 16, 3)"
2,6,"(18, 2, 14, 16, 6, 13, 17, 5, 8, 7, 3, 15, 1, 4, 11, 0, 9, 10, 12, 19)","(3, 3, 1, 16, 20, 10, 12, 9, 17, 11, 20, 15, 10, 7, 4, 10, 20, 4, 8, 8)"
2,7,"(14, 10, 11, 19, 8, 5, 16, 17, 18, 6, 12, 1, 3, 9, 0, 7, 13, 4, 15)","(3, 12, 11, 17, 1, 6, 7, 7, 17, 15, 14, 1, 5, 11, 20, 17, 9, 16, 19)"
3,0,"(2, 6, 17, 5, 3, 7, 1, 9, 10, 15, 12, 13, 19)","(19, 4, 20, 12, 4, 7, 14, 8, 13, 16, 8, 2, 2)"
3,1,"(19, 14, 5, 9, 6, 12, 17, 16, 8, 0, 15, 2, 10, 1, 18, 13, 11, 4, 3, 7)","(4, 16, 17, 8, 1, 2, 5, 15, 13, 4, 10, 15, 12, 8, 9, 20, 3, 20, 11, 13)"
3,2,"(11, 19)","(13, 16)"
3,3,"(17, 13)","(14, 1)"
3,4,"(4, 3, 1, 15, 9, 6, 7, 8, 2, 17, 14, 11, 12, 13, 0, 16)","(5, 18, 16, 7, 14, 13, 15, 20, 2, 8, 4, 10, 6, 20, 7, 8)"
3,5,"(17, 18, 10, 8, 5, 13, 14, 7, 15, 12, 9, 0, 19, 16, 6, 11, 2, 4, 1, 3)","(13, 16, 20, 12, 15, 10, 10, 10, 8, 3, 16, 18, 19, 7, 12, 16, 5, 16, 14, 14)"
3,6,"(0, 11, 18)","(10, 11, 4)"
3,7,"(18, 16)","(20, 7)"
4,0,"(12, 19, 4, 16, 3, 8, 11)","(15, 10, 19, 14, 13, 3, 6)"
4,1,"(11, 13, 16, 7, 3, 5, 8, 19, 4, 9, 12)","(9, 10, 17, 5, 1, 19, 2, 18, 9, 16, 12)"
4,2,"(10, 8, 15, 2, 11, 1, 19, 7, 12, 4, 3, 5, 16, 9, 0, 14, 18)","(1, 1, 17, 11, 10, 20, 17, 5, 17, 5, 11, 7, 14, 13, 5, 10, 14)"
4,3,"(3, 4, 12, 7, 11, 15, 10, 6, 5, 19, 8, 2, 13, 1, 0, 14, 18, 9)","(4, 12, 14, 12, 9, 6, 11, 6, 13, 20, 11, 10, 7, 8, 2, 14, 7, 15)"
4,4,"(17, 18, 16, 11, 15, 6, 7, 1, 14, 3, 0, 12, 4, 5, 10, 8, 2, 13, 9)","(18, 8, 8, 13, 1, 6, 2, 6, 4, 2, 5, 2, 18, 3, 16, 20, 18, 1, 6)"
4,5,"(3, 18, 1, 19, 0, 17, 6, 10, 4, 8, 15, 2)","(1, 19, 16, 10, 13, 3, 10, 13, 2, 3, 7, 11)"
4,6,"(7,)","(10,)"
4,7,"(6, 9, 3, 1, 10, 13, 14, 12, 18, 7, 11, 2, 5, 17, 8, 4, 0, 16)","(13, 20, 6, 4, 7, 1, 13, 1, 13, 17, 1, 20, 7, 13, 14, 18, 1, 3)"
4,8,"(16, 18, 2, 12, 3)","(12, 6, 5, 10, 16)"
4,9,"(6, 7)","(18, 11)"
5,0,"(1, 4, 12, 11, 18, 19, 0, 9, 13, 15, 16, 2, 5, 10, 17, 7, 6, 3, 8, 14)","(9, 1, 14, 4, 7, 5, 11, 10, 20, 4, 3, 4, 11, 4, 15, 9, 20, 11, 3, 7)"
5,1,"(19, 6, 1, 5, 10, 18, 2, 8, 13, 12, 9)","(7, 7, 1, 4, 8, 12, 20, 2, 3, 12, 13)"
5,2,"(13, 10, 1, 12, 15, 2, 11, 3, 4, 0, 16, 19, 7, 9, 17)","(2, 10, 15, 6, 13, 16, 10, 16, 12, 11, 14, 12, 20, 19, 14)"
5,3,"(6, 3, 18, 2, 11, 15, 8)","(10, 15, 19, 16, 15, 20, 20)"
5,4,"(17, 13, 1, 10, 9, 15, 6, 7)","(1, 9, 1, 19, 3, 6, 16, 7)"
5,5,"(15, 0, 5, 8, 4, 2)","(20, 1, 16, 5, 17, 5)"
5,6,"(12, 8, 19, 4, 2, 17, 10, 1, 13, 5, 16, 7, 0, 6, 18, 14, 15, 3)","(14, 16, 5, 19, 12, 15, 7, 17, 11, 17, 17, 18, 17, 15, 10, 6, 13, 3)"
5,7,"(3, 2, 5, 18, 17, 0, 4, 11, 13, 7, 6, 14, 15, 19, 8, 9, 16, 10, 12, 1)","(1, 7, 18, 5, 18, 12, 5, 1, 9, 13, 17, 20, 2, 4, 7, 15, 6, 15, 16, 4)"
