kind,task,machine_selectable,process_time
0,0,"(8, 5)","(4, 3)"
0,1,"(6, 1, 8)","(2, 2, 3)"
0,2,"(9,)","(18,)"
0,3,"(4, 5, 8)","(13, 9, 14)"
0,4,"(5, 2)","(5, 2)"
0,5,"(9, 5, 8)","(11, 14, 16)"
0,6,"(5, 6)","(1, 2)"
0,7,"(2, 5, 9, 1, 0, 6)","(20, 9, 1, 4, 11, 20)"
0,8,"(2, 6)","(12, 16)"
0,9,"(6, 9, 2, 1, 8, 3, 0, 5)","(14, 13, 10, 8, 18, 5, 7, 19)"
1,0,"(7, 2, 0)","(20, 15, 1)"
1,1,"(9, 4, 2, 1, 6, 5, 7, 0)","(8, 9, 8, 17, 8, 15, 13, 2)"
1,2,"(2, 6, 4, 8, 9, 1, 7)","(12, 14, 1, 3, 18, 20, 7)"
1,3,"(2, 7, 9, 0)","(18, 20, 1, 13)"
1,4,"(3, 8, 6, 9, 2, 5)","(2, 12, 7, 11, 17, 17)"
1,5,"(6, 9, 2, 0, 7, 1)","(7, 19, 1, 11, 10, 8)"
1,6,"(5, 4, 9, 7, 6, 1, 0, 8)","(1, 13, 10, 6, 19, 1, 19, 13)"
1,7,"(7, 2)","(11, 14)"
2,0,"(5, 1, 4, 0)","(15, 1, 2, 1)"
2,1,"(1, 5, 2, 4, 6, 3, 7)","(20, 19, 20, 3, 1, 6, 20)"
2,2,"(2, 1)","(3, 17)"
2,3,"(9, 3, 7, 8, 4, 6, 5, 1)","(10, 18, 2, 13, 15, 14, 16, 2)"
2,4,"(7,)","(4,)"
2,5,"(2, 6, 5, 4)","(16, 12, 10, 6)"
2,6,"(2, 7, 8, 9, 0, 6, 4)","(7, 12, 18, 18, 5, 20, 1)"
3,0,"(8, 9, 0, 4, 5, 3)","(4, 17, 16, 16, 13, 9)"
3,1,"(0, 7, 1)","(17, 8, 17)"
3,2,"(2, 4, 9, 7, 8, 3, 1)","(6, 6, 3, 7, 19, 19, 1)"
3,3,"(3,)","(19,)"
3,4,"(9, 0, 8, 7)","(18, 6, 6, 5)"
3,5,"(7, 2, 8, 3, 9, 1, 0)","(19, 12, 10, 4, 20, 15, 10)"
3,6,"(8, 4)","(4, 7)"
3,7,"(7, 3, 1, 6, 8, 4, 0, 5)","(16, 16, 19, 16, 15, 3, 6, 9)"
4,0,"(7, 2, 3, 4)","(14, 12, 1, 5)"
4,1,"(5, 7, 9, 3, 8, 2, 6, 0, 1)","(5, 3, 9, 18, 8, 19, 3, 18, 15)"
4,2,"(6, 3, 2, 9, 0, 7, 5, 1, 4)","(10, 5, 10, 20, 4, 5, 4, 2, 16)"
4,3,"(8,)","(18,)"
4,4,"(5, 8, 2, 7, 1, 9, 4)","(3, 10, 13, 7, 1, 3, 19)"
4,5,"(0, 7, 6, 5, 1, 3, 4, 8)","(15, 5, 14, 16, 19, 12, 17, 19)"
4,6,"(5, 0)","(17, 19)"
4,7,"(2, 9, 6, 8, 3)","(5, 7, 2, 17, 6)"
4,8,"(5, 1, 9, 0, 4, 7, 2, 3, 8)","(6, 17, 10, 1, 15, 16, 16, 1, 2)"
5,0,"(6, 1, 5, 9)","(10, 20, 7, 11)"
5,1,"(7, 3, 9)","(4, 9, 18)"
5,2,"(2, 4, 5)","(8, 14, 15)"
5,3,"(4, 7, 6, 1, 8, 2, 0, 3, 5)","(10, 3, 2, 10, 6, 15, 6, 15, 3)"
5,4,"(2, 5, 6, 7, 1)","(5, 10, 11, 9, 7)"
5,5,"(8, 5, 1)","(12, 13, 11)"
5,6,"(2,)","(8,)"
5,7,"(5, 0, 6)","(11, 12, 4)"
6,0,"(0, 5, 3, 4, 8, 9, 7, 1)","(14, 18, 4, 9, 5, 15, 19, 19)"
6,1,"(5, 7, 0, 4, 9, 3, 1, 2, 8, 6)","(7, 10, 1, 10, 11, 5, 3, 15, 16, 5)"
6,2,"(6, 0, 5, 2, 7, 1, 4)","(10, 20, 3, 16, 3, 9, 16)"
6,3,"(5, 7, 6, 9, 3)","(5, 9, 14, 1, 7)"
6,4,"(8, 7, 6)","(2, 12, 7)"
6,5,"(0, 5, 9, 8)","(17, 18, 5, 4)"
