kind,task,machine_selectable,process_time
0,0,"(9, 10, 16, 11, 19)","(6, 19, 6, 10, 4)"
0,1,"(12, 14, 11, 13, 19, 10, 18, 17, 15, 5, 8, 6, 2, 7, 9, 4)","(1, 6, 11, 8, 11, 17, 2, 10, 6, 4, 9, 6, 1, 12, 19, 9)"
0,2,"(9, 0, 16, 19, 15, 5, 3, 11, 7, 2, 12, 18, 10, 4, 1)","(6, 16, 13, 8, 20, 14, 8, 20, 17, 6, 7, 7, 6, 1, 1)"
0,3,"(5, 9, 7, 4, 15, 12, 6, 16, 10, 0, 11, 1)","(2, 15, 17, 2, 19, 5, 2, 14, 10, 18, 16, 19)"
0,4,"(19, 3, 16, 7, 2, 17, 0, 14, 10, 13, 5, 15, 4, 1, 18, 6, 8)","(5, 7, 13, 6, 9, 6, 13, 15, 8, 4, 20, 13, 10, 18, 2, 20, 8)"
0,5,"(11, 13, 4, 15, 18, 16, 14, 17, 12, 0, 6, 10, 19, 3, 1)","(15, 8, 7, 14, 17, 16, 12, 17, 15, 17, 12, 3, 7, 13, 13)"
0,6,"(3, 13, 9, 16, 2, 14, 7, 15, 4, 0, 12)","(13, 1, 20, 12, 7, 14, 10, 10, 20, 8, 1)"
0,7,"(1, 4, 11, 8, 17, 19, 5, 0, 10)","(13, 4, 18, 3, 6, 4, 12, 18, 10)"
1,0,"(14, 2, 17, 11, 1, 15)","(19, 12, 16, 6, 10, 7)"
1,1,"(4, 3, 16, 10, 8)","(10, 1, 4, 6, 19)"
1,2,"(18, 7)","(15, 1)"
1,3,"(12, 2, 8, 10, 16)","(1, 7, 5, 10, 12)"
1,4,"(6, 13, 9, 10, 3, 8, 0, 14, 4, 11, 7, 5, 16, 15, 2, 12)","(6, 14, 4, 19, 10, 7, 20, 16, 10, 2, 2, 19, 15, 12, 6, 3)"
2,0,"(16, 14, 8, 4, 17, 11, 13, 9, 5, 7, 3, 15, 10, 18, 2, 0, 12)","(8, 17, 3, 6, 12, 7, 20, 5, 1, 11, 13, 10, 11, 3, 14, 13, 16)"
2,1,"(17, 2, 11, 12, 10, 1, 16, 5, 7)","(10, 17, 15, 11, 6, 2, 18, 17, 16)"
2,2,"(15, 14, 19, 9, 8, 16, 3, 6, 4, 18, 17, 12, 2, 7, 5, 10)","(8, 9, 2, 19, 8, 17, 16, 16, 19, 20, 16, 17, 6, 20, 1, 13)"
2,3,"(18, 8, 0, 13, 12, 3, 16, 1, 4, 11, 6, 9, 14, 15, 7, 2)","(12, 18, 18, 20, 5, 4, 14, 1, 18, 12, 9, 11, 20, 7, 12, 14)"
2,4,"(11, 6, 8, 19, 9, 0, 18, 14, 5, 17, 10)","(3, 11, 12, 18, 9, 6, 6, 5, 18, 18, 10)"
2,5,"(0, 19, 8, 18, 1, 7, 12, 17, 11, 16, 2)","(3, 5, 16, 8, 4, 6, 9, 6, 18, 18, 18)"
2,6,"(6, 15, 0, 18, 16, 17, 7, 5, 3, 14)","(8, 14, 19, 7, 19, 10, 12, 14, 4, 5)"
3,0,"(6, 13, 7, 15, 17, 16, 2, 3, 12, 10, 18, 19, 4, 14, 1, 0, 5, 9, 11)","(16, 9, 18, 15, 8, 10, 8, 5, 13, 18, 16, 18, 15, 12, 9, 19, 17, 9, 9)"
3,1,"(18, 6, 10, 3, 19, 5, 8, 2, 4)","(18, 20, 1, 9, 18, 8, 4, 8, 15)"
3,2,"(11, 13, 0, 18, 16, 10, 3, 17, 8, 9, 12, 14, 1, 19, 2, 6, 4)","(16, 14, 3, 17, 11, 5, 17, 6, 8, 8, 2, 14, 17, 17, 4, 12, 15)"
