kind,task,machine_selectable,process_time
0,0,"(18, 3)","(11, 10)"
0,1,"(17, 3, 6, 10, 14, 9, 1, 8, 15, 4, 5, 16, 2, 19, 0, 11, 13, 18)","(12, 20, 7, 12, 13, 5, 16, 1, 8, 20, 10, 20, 1, 6, 5, 5, 12, 4)"
0,2,"(2, 7, 9, 6, 5, 18, 15, 11, 10, 3, 12, 8, 0)","(18, 20, 6, 12, 5, 7, 15, 3, 5, 13, 18, 7, 8)"
0,3,"(0, 3, 1, 19, 18, 10, 5, 17, 14, 12, 15, 6, 7)","(6, 6, 3, 14, 20, 3, 19, 11, 10, 11, 20, 3, 4)"
0,4,"(11, 19, 12, 18, 15, 6, 10, 16, 2)","(9, 12, 11, 4, 15, 12, 20, 19, 12)"
1,0,"(18, 6, 4, 0, 5, 11, 12, 16, 3, 15, 1)","(14, 5, 16, 3, 11, 13, 16, 3, 15, 3, 20)"
1,1,"(9, 4, 13, 3, 16, 1, 15, 11, 8, 2, 12, 0, 17, 5, 19, 6)","(20, 19, 7, 5, 11, 20, 14, 2, 13, 11, 3, 7, 6, 13, 10, 17)"
1,2,"(1, 0, 16)","(8, 18, 17)"
1,3,"(6, 17, 0, 1, 2, 5, 8, 11, 16, 7, 13, 10, 9)","(13, 2, 11, 10, 18, 17, 1, 5, 12, 11, 8, 14, 20)"
1,4,"(15, 7, 19, 1, 0, 2, 3, 9, 8, 6, 18, 12, 17, 13, 14, 4, 11, 16)","(4, 11, 17, 8, 16, 2, 7, 18, 19, 2, 1, 17, 9, 16, 5, 4, 9, 16)"
1,5,"(2, 16, 11)","(14, 15, 1)"
2,0,"(7, 19, 6, 10, 8, 5, 9)","(9, 10, 1, 6, 15, 18, 5)"
2,1,"(7, 11, 1)","(20, 7, 15)"
2,2,"(2, 5, 11, 16, 3, 18, 9, 6, 19, 8, 12, 10, 4, 13, 17, 0, 7, 15, 14)","(6, 13, 10, 14, 10, 4, 16, 16, 17, 4, 20, 11, 3, 19, 12, 9, 6, 15, 3)"
2,3,"(14, 18, 7, 1, 17, 5)","(15, 7, 15, 9, 13, 18)"
2,4,"(13, 12, 5, 19, 10)","(19, 14, 20, 20, 10)"
2,5,"(1, 2, 14, 15, 8, 16, 17, 3, 19, 12, 7, 9, 4, 11, 0, 18, 10)","(17, 10, 19, 10, 19, 1, 2, 13, 12, 12, 12, 4, 4, 1, 17, 1, 9)"
2,6,"(4, 14, 18, 13, 7, 8, 1, 15, 11, 6, 9, 19, 3, 17, 2, 0, 12, 5, 10)","(12, 2, 8, 17, 17, 13, 15, 15, 13, 19, 12, 13, 9, 18, 12, 9, 5, 7, 20)"
2,7,"(8, 16, 15, 17, 14, 2, 7, 12, 19, 3, 0, 18, 6, 13, 10, 5, 1)","(16, 6, 4, 8, 10, 15, 3, 16, 17, 5, 17, 1, 12, 6, 5, 13, 12)"
2,8,"(3, 6, 13, 19, 2)","(16, 18, 9, 13, 13)"
3,0,"(5, 9, 19, 17, 15, 3, 4, 6, 14)","(15, 6, 1, 16, 6, 15, 13, 20, 6)"
3,1,"(2, 7, 14, 1, 6, 0, 4, 15, 9, 10, 17, 13, 18, 8, 11, 19)","(11, 13, 9, 14, 6, 9, 9, 3, 3, 11, 9, 17, 6, 14, 5, 2)"
3,2,"(14, 2, 4, 10, 0, 6, 17, 11, 5, 3)","(4, 7, 3, 14, 18, 15, 10, 14, 13, 15)"
3,3,"(13, 4, 16, 10, 18, 11, 1, 5, 2, 7, 15, 19, 8, 9, 3, 6, 14)","(18, 19, 2, 9, 11, 4, 5, 12, 2, 6, 14, 9, 15, 12, 16, 19, 13)"
3,4,"(13, 12, 16, 8, 2, 0, 17, 15, 6, 9, 1, 10, 7, 19, 4, 11, 5, 14, 18, 3)","(18, 6, 2, 5, 17, 1, 1, 5, 8, 7, 13, 15, 1, 7, 19, 12, 14, 3, 6, 9)"
4,0,"(4, 2)","(16, 4)"
4,1,"(7, 10, 15, 3, 13, 1, 0, 4, 5, 14, 12, 16, 2, 9, 11, 17, 6)","(4, 3, 8, 17, 9, 16, 1, 10, 14, 20, 12, 18, 13, 13, 11, 1, 4)"
4,2,"(14, 4, 8, 15, 13, 3, 1, 19)","(8, 17, 12, 5, 8, 2, 1, 12)"
4,3,"(9, 5, 10, 6, 19, 2, 8, 12, 13)","(17, 12, 11, 1, 12, 2, 7, 19, 18)"
4,4,"(19, 9, 8, 13, 18, 14, 6, 5, 17, 4, 12, 3, 15)","(19, 9, 11, 1, 18, 13, 15, 2, 11, 16, 6, 18, 4)"
4,5,"(15, 19, 3, 0, 13, 4)","(2, 5, 15, 6, 12, 19)"
4,6,"(8,)","(4,)"
4,7,"(17, 3, 11, 18, 8, 4, 0, 5, 19, 15)","(11, 13, 14, 18, 4, 11, 9, 5, 19, 19)"
5,0,"(10,)","(11,)"
5,1,"(17, 10, 1, 13, 3)","(20, 3, 17, 2, 11)"
5,2,"(4, 13, 3, 10, 7, 19, 17, 11)","(6, 16, 12, 18, 17, 17, 13, 7)"
5,3,"(8,)","(16,)"
5,4,"(15, 4, 14, 2, 13, 8, 19, 3, 0, 7, 17, 16, 18, 5, 12, 6, 11, 10, 9, 1)","(11, 4, 16, 14, 15, 10, 16, 9, 20, 14, 6, 6, 9, 14, 15, 3, 10, 11, 17, 10)"
5,5,"(1, 2, 18, 3, 19, 13, 6, 8, 7, 4, 16, 15, 17, 14, 9, 11, 10, 12, 0, 5)","(7, 13, 3, 2, 6, 13, 9, 4, 6, 8, 7, 14, 11, 13, 12, 9, 1, 19, 9, 9)"
6,0,"(18, 1, 11, 10, 15, 12, 6, 7, 19, 17, 5, 2, 14, 3, 4, 9, 8, 16, 0)","(15, 11, 2, 1, 11, 4, 1, 13, 15, 6, 11, 6, 7, 15, 15, 16, 20, 5, 17)"
6,1,"(7, 12, 15, 9)","(14, 6, 16, 11)"
6,2,"(12, 9, 5, 16)","(8, 1, 4, 10)"
6,3,"(8, 0, 6, 5, 7)","(15, 14, 8, 2, 16)"
6,4,"(13, 9, 11, 12, 2, 17, 6, 16, 1, 8, 15, 7)","(19, 3, 19, 9, 16, 1, 20, 15, 4, 17, 20, 9)"
6,5,"(12, 9, 7, 5, 19, 6, 2, 10, 8, 18, 3, 14, 1, 13)","(14, 18, 10, 3, 9, 15, 11, 10, 11, 10, 15, 17, 8, 16)"
6,6,"(13, 2, 5, 18, 9, 1, 14, 15, 16)","(11, 17, 13, 13, 5, 7, 7, 10, 8)"
6,7,"(3,)","(17,)"
6,8,"(6, 10, 18, 11, 0, 13, 1)","(4, 7, 6, 12, 17, 10, 20)"
7,0,"(1, 4, 7, 17, 0, 11, 13, 15)","(16, 16, 1, 8, 8, 7, 16, 11)"
7,1,"(17, 19, 5, 4, 9, 0, 7, 15, 8, 14, 1, 16, 3, 11)","(3, 17, 5, 4, 15, 19, 14, 20, 20, 6, 9, 5, 7, 14)"
7,2,"(11, 13, 4, 8, 7, 1)","(1, 14, 16, 9, 7, 4)"
7,3,"(2, 8, 0, 19, 9, 5, 4, 11, 1, 15, 12, 17, 6, 3)","(12, 4, 18, 18, 4, 6, 17, 9, 10, 4, 6, 4, 9, 15)"
7,4,"(0, 7, 12, 2, 15, 6)","(11, 9, 15, 11, 16, 19)"
7,5,"(12, 4, 6, 11, 10, 16, 18)","(10, 10, 12, 17, 17, 19, 7)"
7,6,"(9, 1, 0, 15, 14, 2, 18, 7, 13, 12, 6, 16, 8)","(1, 9, 17, 7, 11, 18, 4, 5, 7, 16, 4, 13, 19)"
7,7,"(19, 15, 16)","(15, 19, 20)"
