order,time_arrive,time_delivery,kind_number
0,0,178,"(8, 8, 7, 5, 10, 6, 10, 5, 6, 8, 7, 5)"
1,198,367,"(8, 6, 5, 9, 6, 7, 9, 5, 5, 9, 7, 7)"
2,382,586,"(8, 10, 9, 5, 10, 9, 7, 5, 9, 8, 9, 10)"
3,552,748,"(10, 6, 10, 8, 6, 7, 10, 5, 9, 10, 5, 8)"
4,699,894,"(8, 8, 8, 8, 9, 7, 9, 8, 10, 6, 6, 7)"
5,885,1062,"(8, 9, 5, 6, 6, 8, 5, 7, 5, 10, 8, 10)"
6,1003,1185,"(6, 8, 9, 8, 6, 5, 7, 9, 7, 8, 5, 9)"
7,1199,1371,"(5, 10, 7, 8, 5, 5, 7, 5, 7, 7, 8, 10)"
8,1358,1550,"(9, 8, 9, 10, 9, 5, 6, 10, 8, 8, 5, 6)"
9,1527,1724,"(9, 10, 9, 6, 9, 5, 10, 5, 6, 9, 8, 9)"
