order,time_arrive,time_delivery,kind_number
0,0,328,"(7, 10, 6, 5, 9, 6, 7, 8, 10, 6, 7)"
1,197,486,"(7, 5, 5, 6, 6, 9, 7, 7, 6, 8, 6)"
2,376,679,"(8, 7, 5, 8, 6, 7, 7, 8, 6, 5, 8)"
3,533,875,"(7, 8, 5, 9, 6, 10, 5, 7, 10, 9, 7)"
4,636,967,"(7, 6, 5, 8, 10, 9, 8, 8, 6, 6, 9)"
5,751,1052,"(6, 9, 5, 7, 7, 7, 5, 7, 5, 7, 8)"
6,867,1238,"(7, 8, 6, 8, 6, 10, 8, 10, 7, 10, 10)"
7,1029,1358,"(9, 5, 10, 5, 9, 7, 8, 7, 8, 8, 8)"
8,1228,1564,"(7, 6, 9, 9, 6, 9, 6, 9, 10, 5, 8)"
9,1388,1691,"(7, 6, 5, 10, 5, 10, 6, 7, 7, 6, 6)"
