kind,task,machine_selectable,process_time
0,0,"(3, 12, 8, 11, 5, 10, 2, 9, 1, 7, 13, 4, 0, 6)","(7, 7, 12, 16, 2, 11, 17, 17, 4, 7, 16, 16, 10, 3)"
0,1,"(1, 9, 14, 4, 12, 3, 2, 11, 5, 6, 10, 0, 8, 7)","(11, 20, 15, 12, 17, 9, 11, 19, 14, 3, 3, 12, 5, 14)"
0,2,"(8, 1, 14, 12, 3)","(4, 8, 7, 2, 7)"
0,3,"(11, 12, 14, 9, 3, 13, 0, 1, 6, 4, 7, 5)","(7, 9, 19, 3, 13, 3, 8, 2, 6, 4, 7, 19)"
0,4,"(2, 4, 6, 8, 1, 7, 9, 11, 10, 0, 12, 3, 14, 5, 13)","(6, 17, 14, 6, 20, 9, 11, 7, 17, 4, 11, 13, 13, 8, 10)"
1,0,"(8, 0, 1)","(16, 17, 17)"
1,1,"(11, 2)","(7, 18)"
1,2,"(9, 2, 5)","(2, 2, 19)"
1,3,"(9, 12, 1, 7, 14, 10, 3, 4, 2)","(5, 11, 2, 1, 8, 18, 1, 2, 19)"
1,4,"(7, 11, 4, 3)","(5, 10, 7, 12)"
1,5,"(0, 9, 6, 4, 12, 8, 3, 11, 1, 7, 2, 10, 13, 14)","(12, 6, 6, 18, 15, 2, 10, 19, 16, 2, 11, 19, 3, 5)"
1,6,"(10, 11, 5, 6, 0, 9, 14, 4, 13, 8, 1, 12)","(20, 4, 1, 16, 18, 12, 2, 15, 16, 18, 2, 20)"
1,7,"(8, 9, 1, 5, 13, 6, 4, 7, 12, 0, 2, 14)","(18, 5, 11, 12, 5, 4, 16, 4, 14, 19, 7, 13)"
1,8,"(14, 10, 9, 5, 0, 7)","(12, 14, 10, 5, 12, 17)"
1,9,"(1, 3, 9, 8, 13, 2, 7, 12, 4, 11)","(9, 12, 11, 5, 2, 7, 5, 1, 11, 7)"
2,0,"(3,)","(6,)"
2,1,"(2, 0, 10, 6, 14, 5, 12, 13, 3, 7, 8)","(13, 9, 20, 19, 16, 3, 7, 2, 14, 14, 12)"
2,2,"(6,)","(6,)"
2,3,"(6, 7, 13, 11, 10, 1, 4, 3, 14, 2)","(14, 12, 5, 13, 5, 6, 9, 18, 4, 17)"
2,4,"(1,)","(2,)"
2,5,"(10, 12, 11, 2, 5, 4, 14, 6, 9, 8, 0, 3, 13, 1)","(9, 10, 17, 10, 15, 20, 13, 12, 8, 15, 13, 11, 7, 20)"
2,6,"(0, 5, 12, 9, 3, 13, 10, 11, 6, 14, 2, 4, 7, 8)","(8, 14, 4, 7, 19, 8, 20, 20, 9, 3, 15, 6, 20, 14)"
2,7,"(0, 8, 6, 11)","(17, 14, 9, 15)"
3,0,"(5, 7)","(9, 10)"
3,1,"(11, 2, 1, 0)","(7, 14, 16, 18)"
3,2,"(14, 8, 5, 6, 10, 13)","(14, 7, 18, 16, 18, 10)"
3,3,"(8, 14, 12, 10, 9, 4, 6, 7, 11, 0)","(15, 19, 18, 5, 20, 17, 4, 2, 3, 8)"
3,4,"(14, 9)","(18, 12)"
4,0,"(9, 4, 2, 12, 3, 1, 7)","(14, 9, 8, 8, 12, 10, 14)"
4,1,"(1, 6, 2, 10, 8, 0, 13, 7, 9, 4, 14, 11, 5, 3, 12)","(5, 1, 3, 3, 2, 15, 5, 1, 6, 12, 3, 15, 7, 4, 20)"
4,2,"(10, 4, 8, 6, 14, 5, 1, 11, 3, 13, 12, 9, 7)","(4, 1, 19, 11, 19, 11, 12, 10, 14, 20, 2, 17, 20)"
4,3,"(6, 13, 12)","(12, 3, 2)"
4,4,"(8, 13, 6, 10, 2, 5, 9, 4, 11, 7, 3)","(17, 6, 11, 19, 8, 14, 20, 12, 20, 3, 11)"
4,5,"(4, 8, 12, 1, 6)","(11, 13, 14, 3, 19)"
5,0,"(4, 12, 9, 3, 14, 8, 0)","(6, 1, 14, 15, 3, 2, 5)"
5,1,"(10, 14, 7)","(11, 16, 3)"
5,2,"(1, 13, 11, 14)","(10, 20, 5, 17)"
5,3,"(12,)","(8,)"
5,4,"(2, 13, 0, 6, 7, 8, 4, 5, 12)","(4, 9, 13, 11, 1, 16, 14, 1, 18)"
5,5,"(11, 12, 6, 4)","(7, 4, 14, 7)"
5,6,"(7, 5, 12, 14, 3, 13, 11, 0, 4, 9, 2, 8)","(15, 2, 13, 6, 20, 16, 7, 18, 20, 11, 17, 17)"
6,0,"(13,)","(16,)"
6,1,"(5, 8, 10, 7, 11, 3, 9, 4, 14, 12, 1)","(16, 11, 15, 19, 10, 18, 15, 15, 11, 18, 16)"
6,2,"(8, 7, 10, 6, 5, 4, 13, 14, 2, 9, 11, 1)","(11, 17, 1, 3, 14, 3, 13, 12, 2, 13, 13, 6)"
6,3,"(5, 13, 3, 14)","(18, 13, 8, 20)"
6,4,"(10,)","(3,)"
6,5,"(13,)","(4,)"
7,0,"(2, 3, 14, 0, 6, 5, 13, 9, 8, 1, 10, 12, 4, 7)","(6, 19, 4, 2, 11, 10, 4, 13, 1, 20, 14, 4, 1, 13)"
7,1,"(9, 0)","(19, 9)"
7,2,"(2, 1, 12, 4, 0, 5, 3, 13, 6, 14, 11)","(1, 12, 11, 8, 4, 20, 12, 3, 8, 16, 11)"
7,3,"(0, 5, 8, 3)","(20, 10, 3, 17)"
7,4,"(5, 4, 3, 12)","(18, 7, 5, 10)"
7,5,"(3, 2, 9)","(13, 6, 18)"
8,0,"(5, 7, 12, 0, 10, 9, 2, 14)","(14, 18, 11, 12, 3, 16, 20, 16)"
8,1,"(8, 7, 13, 5)","(14, 13, 19, 7)"
8,2,"(6, 11, 8, 4, 10, 3, 14, 12, 7)","(13, 19, 9, 8, 11, 20, 15, 17, 8)"
8,3,"(14, 12, 6, 3, 2, 9, 0, 8, 11)","(20, 2, 14, 12, 8, 17, 8, 5, 18)"
8,4,"(2, 14, 3, 0, 10, 9, 6, 5, 11, 1, 8, 12)","(6, 14, 6, 9, 13, 17, 19, 9, 2, 3, 7, 12)"
8,5,"(4, 7)","(20, 9)"
