order,time_arrive,time_delivery,kind_number
0,0,231,"(8, 9, 6, 7, 6, 5)"
1,191,445,"(6, 6, 9, 10, 7, 9)"
2,301,519,"(5, 6, 7, 10, 5, 7)"
3,472,708,"(7, 8, 7, 8, 5, 7)"
4,588,888,"(10, 10, 6, 8, 8, 10)"
5,775,1016,"(8, 8, 7, 6, 5, 8)"
6,932,1181,"(9, 8, 8, 6, 10, 5)"
7,1035,1278,"(6, 5, 9, 9, 9, 8)"
8,1203,1487,"(10, 10, 6, 7, 9, 8)"
9,1316,1602,"(9, 8, 9, 10, 10, 7)"
10,1495,1756,"(10, 8, 7, 5, 10, 7)"
11,1675,1921,"(6, 8, 5, 10, 7, 8)"
12,1841,2050,"(5, 6, 10, 5, 8, 6)"
13,2003,2237,"(7, 8, 7, 9, 7, 5)"
14,2148,2391,"(8, 5, 9, 7, 6, 9)"
