kind,task,machine_selectable,process_time
0,0,"(4, 6)","(14, 12)"
0,1,"(5, 3, 9, 2)","(11, 1, 2, 1)"
0,2,"(5, 7)","(13, 11)"
0,3,"(1, 4, 0, 3, 6, 2, 7, 8)","(5, 11, 1, 14, 9, 12, 13, 5)"
0,4,"(7, 6, 0)","(9, 1, 19)"
0,5,"(3, 1, 2, 6, 5, 9, 4)","(20, 17, 10, 3, 12, 14, 10)"
0,6,"(6, 5, 8, 2, 3, 7, 9)","(12, 1, 19, 10, 1, 6, 12)"
0,7,"(3, 9, 5, 8, 6, 7, 2, 0, 4, 1)","(9, 16, 5, 14, 3, 16, 9, 5, 20, 5)"
0,8,"(8, 1, 0, 7)","(11, 15, 16, 20)"
1,0,"(7, 4, 1, 9, 5, 0, 6)","(4, 8, 17, 16, 11, 12, 14)"
1,1,"(9, 6, 1, 2, 4, 5, 8, 7, 3)","(15, 19, 9, 16, 3, 4, 16, 4, 15)"
1,2,"(3, 8, 7, 9, 0, 5)","(1, 14, 7, 6, 12, 3)"
1,3,"(4, 1)","(20, 16)"
1,4,"(4, 1, 3, 6, 2, 9, 0)","(12, 4, 18, 2, 11, 3, 19)"
1,5,"(9, 1, 2, 4, 7, 8, 5)","(4, 6, 15, 9, 2, 6, 2)"
1,6,"(5, 2, 6, 4, 8, 9, 1, 3, 7)","(5, 16, 4, 12, 9, 4, 9, 15, 14)"
1,7,"(8, 3, 7, 5, 9, 4, 1, 6)","(20, 4, 13, 7, 5, 2, 15, 10)"
1,8,"(5, 3)","(2, 15)"
2,0,"(2, 8, 3, 7, 6, 4, 5, 0, 9)","(2, 2, 17, 16, 16, 15, 2, 9, 15)"
2,1,"(1, 8, 3, 2, 5, 6, 0, 4, 9)","(5, 4, 1, 13, 8, 4, 15, 15, 20)"
2,2,"(5, 1)","(8, 20)"
2,3,"(4, 3, 5, 8)","(3, 15, 8, 7)"
2,4,"(4, 7, 5, 6, 3)","(6, 17, 2, 9, 5)"
3,0,"(9, 2, 8, 0, 6, 5, 7, 3, 1, 4)","(19, 13, 14, 12, 15, 19, 7, 17, 14, 4)"
3,1,"(1, 0, 2, 9)","(10, 15, 1, 9)"
3,2,"(9, 7, 2, 8, 3)","(10, 10, 10, 2, 19)"
3,3,"(5, 3, 0, 7, 6, 2, 8, 4, 9)","(18, 13, 3, 19, 14, 15, 12, 5, 9)"
3,4,"(4, 5, 7, 3, 2, 6, 0, 9)","(12, 14, 20, 13, 3, 7, 7, 10)"
3,5,"(0, 2, 5, 6, 9, 8, 7)","(8, 12, 1, 6, 20, 9, 6)"
4,0,"(1,)","(8,)"
4,1,"(8, 4, 0, 1, 2, 3)","(5, 7, 4, 17, 5, 6)"
4,2,"(3, 1, 2)","(16, 6, 8)"
4,3,"(6, 5, 9, 7, 8, 2)","(4, 8, 7, 8, 11, 16)"
4,4,"(5, 3)","(14, 1)"
4,5,"(9,)","(7,)"
5,0,"(8, 5, 0, 7)","(6, 20, 18, 14)"
5,1,"(6, 4, 8, 3, 2, 7, 1, 5, 9, 0)","(8, 10, 3, 1, 11, 20, 16, 6, 4, 18)"
5,2,"(5, 1, 0, 3, 2, 7, 8, 6, 4)","(3, 4, 10, 1, 15, 8, 20, 1, 14)"
5,3,"(0, 1)","(20, 8)"
5,4,"(3, 2, 6, 0, 7, 9, 1, 8, 4, 5)","(4, 3, 13, 15, 19, 17, 2, 20, 4, 16)"
5,5,"(5, 8, 6, 3, 1, 9, 2, 7, 0)","(1, 5, 17, 5, 11, 20, 5, 14, 4)"
5,6,"(0, 1, 9, 8, 3, 2)","(6, 14, 16, 4, 13, 9)"
5,7,"(6, 4, 8)","(10, 3, 8)"
5,8,"(4, 5, 7, 6, 8, 3)","(13, 8, 1, 16, 5, 16)"
