order,time_arrive,time_delivery,kind_number
0,0,340,"(7, 8, 5, 6, 10, 7, 6, 8, 5, 7, 6, 6, 9)"
1,110,472,"(7, 9, 8, 6, 8, 5, 7, 10, 6, 8, 9, 6, 9)"
2,234,581,"(6, 10, 6, 6, 5, 8, 7, 6, 9, 7, 10, 5, 8)"
3,413,807,"(8, 9, 10, 8, 10, 8, 7, 10, 10, 7, 7, 10, 5)"
4,565,893,"(5, 5, 7, 8, 8, 7, 9, 5, 8, 9, 8, 6, 5)"
5,671,1032,"(7, 9, 6, 9, 5, 9, 10, 6, 10, 10, 7, 5, 5)"
6,860,1211,"(9, 7, 6, 7, 5, 6, 9, 6, 10, 9, 7, 8, 8)"
7,1034,1402,"(7, 6, 9, 8, 6, 9, 7, 8, 10, 10, 7, 10, 6)"
8,1196,1543,"(7, 6, 10, 8, 5, 10, 5, 5, 10, 6, 7, 6, 9)"
9,1351,1723,"(6, 10, 10, 7, 6, 8, 6, 9, 10, 5, 5, 10, 10)"
10,1488,1860,"(9, 6, 10, 5, 9, 5, 7, 8, 7, 10, 10, 10, 8)"
11,1620,1981,"(10, 7, 9, 5, 7, 6, 7, 9, 9, 9, 6, 7, 9)"
12,1742,2082,"(5, 6, 9, 10, 6, 6, 7, 8, 10, 6, 6, 5, 8)"
13,1889,2221,"(9, 8, 6, 6, 6, 5, 10, 6, 10, 5, 9, 6, 6)"
14,2067,2421,"(10, 8, 5, 5, 8, 7, 5, 5, 8, 8, 9, 10, 8)"
